Device: cuda
Dataset: cottonweed, Train set: 513, Val set: 146
[!] Retrain
Epoch 1, Itrs 10/10000, Loss=0.854106
Epoch 1, Itrs 20/10000, Loss=0.497579
Epoch 1, Itrs 30/10000, Loss=0.325727
Epoch 1, Itrs 40/10000, Loss=0.322659
Epoch 1, Itrs 50/10000, Loss=0.323615
Epoch 1, Itrs 60/10000, Loss=0.203117
Epoch 2, Itrs 70/10000, Loss=0.283946
Epoch 2, Itrs 80/10000, Loss=0.434880
Epoch 2, Itrs 90/10000, Loss=0.357491
Epoch 2, Itrs 100/10000, Loss=0.275911
Epoch 2, Itrs 110/10000, Loss=0.290426
Epoch 2, Itrs 120/10000, Loss=0.309052
Epoch 3, Itrs 130/10000, Loss=0.161181
Epoch 3, Itrs 140/10000, Loss=0.240699
Epoch 3, Itrs 150/10000, Loss=0.234939
Epoch 3, Itrs 160/10000, Loss=0.148807
Epoch 3, Itrs 170/10000, Loss=0.150255
Epoch 3, Itrs 180/10000, Loss=0.166108
Epoch 3, Itrs 190/10000, Loss=0.330601
Epoch 4, Itrs 200/10000, Loss=0.160613
Epoch 4, Itrs 210/10000, Loss=0.259089
Epoch 4, Itrs 220/10000, Loss=0.199848
Epoch 4, Itrs 230/10000, Loss=0.174131
Epoch 4, Itrs 240/10000, Loss=0.278230
Epoch 4, Itrs 250/10000, Loss=0.218965
Epoch 5, Itrs 260/10000, Loss=0.147170
Epoch 5, Itrs 270/10000, Loss=0.101738
Epoch 5, Itrs 280/10000, Loss=0.184030
Epoch 5, Itrs 290/10000, Loss=0.260693
Epoch 5, Itrs 300/10000, Loss=0.261278
Epoch 5, Itrs 310/10000, Loss=0.247834
Epoch 5, Itrs 320/10000, Loss=0.231567
Epoch 6, Itrs 330/10000, Loss=0.255042
Epoch 6, Itrs 340/10000, Loss=0.309433
Epoch 6, Itrs 350/10000, Loss=0.191701
Epoch 6, Itrs 360/10000, Loss=0.107186
Epoch 6, Itrs 370/10000, Loss=0.242054
Epoch 6, Itrs 380/10000, Loss=0.162966
Epoch 7, Itrs 390/10000, Loss=0.141327
Epoch 7, Itrs 400/10000, Loss=0.212143
Epoch 7, Itrs 410/10000, Loss=0.354603
Epoch 7, Itrs 420/10000, Loss=0.155203
Epoch 7, Itrs 430/10000, Loss=0.174260
Epoch 7, Itrs 440/10000, Loss=0.147934
