Iter	epoch	cotton_to_abuth	abuth_to_cotton
32	1	0.030959	0.493578
64	1	0.012298	0.590265
96	1	0.029652	0.429442
128	1	0.196744	0.001410
160	1	0.038815	0.042811
192	1	0.234111	0.020560
224	1	0.059170	0.092251
256	2	0.071682	0.090496
288	2	0.027516	0.163211
320	2	0.035902	0.053327
352	2	0.004810	0.154033
384	2	0.027424	0.353500
416	2	0.114560	0.019909
448	2	0.111538	0.022169
480	2	0.140729	0.016519
512	3	0.183743	0.012331
544	3	0.212893	0.020035
576	3	0.003426	0.217423
608	3	0.122250	0.009681
640	3	0.033661	0.016248
672	3	0.026736	0.047837
704	3	0.164855	0.025093
736	3	0.190141	0.011343
768	4	0.139612	0.011664
800	4	0.051586	0.021948
832	4	0.369687	0.004637
864	4	0.269506	0.011238
896	4	0.085718	0.014870
928	4	0.376281	0.017699
960	4	0.141136	0.017627
992	4	0.054362	0.029510
1024	5	0.167995	0.022416
1056	5	0.174954	0.020796
1088	5	0.107691	0.022416
1120	5	0.089536	0.021156
1152	5	0.073442	0.016382
1184	5	0.043392	0.015717
1216	5	0.047813	0.014739
1248	5	0.046931	0.016421
1280	6	0.048961	0.014990
1312	6	0.055238	0.012325
1344	6	0.031202	0.013073
1376	6	0.047832	0.011482
1408	6	0.040790	0.010692
1440	6	0.023202	0.011871
1472	6	0.019443	0.012222
1504	7	0.006316	0.013853
1536	7	0.006511	0.011558
1568	7	0.012113	0.011275
1600	7	0.007335	0.011731
1632	7	0.007487	0.010845
1664	7	0.004408	0.010210
1696	7	0.004809	0.010072
1728	7	0.007361	0.008998
1760	8	0.020359	0.008580
1792	8	0.026609	0.008350
1824	8	0.036376	0.008672
1856	8	0.047083	0.008109
1888	8	0.018218	0.008903
1920	8	0.011062	0.010746
1952	8	0.011009	0.011555
1984	8	0.005754	0.011504
2016	9	0.005999	0.010549
2048	9	0.004294	0.011357
2080	9	0.005907	0.011235
2112	9	0.007126	0.011003
2144	9	0.006501	0.011052
2176	9	0.014240	0.010056
2208	9	0.004675	0.011240
2240	9	0.004358	0.011241
2272	10	0.005949	0.010775
2304	10	0.007912	0.011473
2336	10	0.004992	0.011580
2368	10	0.003489	0.012386
2400	10	0.004738	0.011573
2432	10	0.004865	0.011550
2464	10	0.003984	0.011271
2496	10	0.005775	0.011295
2528	11	0.006369	0.010288
2560	11	0.004123	0.010898
2592	11	0.006248	0.010548
2624	11	0.008234	0.009988
2656	11	0.006715	0.010946
2688	11	0.008319	0.010383
2720	11	0.007195	0.010646
2752	12	0.007131	0.010202
2784	12	0.007534	0.010423
2816	12	0.007538	0.010676
2848	12	0.007530	0.010514
2880	12	0.011044	0.010288
2912	12	0.008625	0.010291
2944	12	0.004733	0.010489
2976	12	0.007233	0.010229
3008	13	0.007617	0.010285
3040	13	0.012868	0.010224
3072	13	0.012585	0.009953
3104	13	0.009159	0.010112
3136	13	0.012778	0.010248
3168	13	0.012943	0.009753
3200	13	0.007456	0.010710
3232	13	0.007948	0.010290
3264	14	0.010418	0.010326
3296	14	0.011286	0.009819
3328	14	0.008536	0.010527
3360	14	0.009271	0.010235
3392	14	0.004384	0.011357
3424	14	0.009939	0.010207
3456	14	0.011289	0.010012
