class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.947227	0.998092	0.972899	0.893864	0.474296	0.639697	0.579282	32	1
abuth	0.196594	0.198790	0.328589						
cotton	0.279065	0.722210	0.436358						
background	0.947998	0.998461	0.973305	0.883911	0.436271	0.607577	0.524763	64	1
abuth	0.115257	0.115780	0.206691						
cotton	0.245558	0.708490	0.394294						
background	0.959054	0.994612	0.979099	0.912554	0.548272	0.733513	0.666727	96	1
abuth	0.330638	0.335768	0.496962						
cotton	0.355125	0.870160	0.524121						
background	0.907751	0.999043	0.951645	0.906671	0.491048	0.532445	0.589092	128	1
abuth	0.467274	0.499656	0.636928						
cotton	0.098118	0.098637	0.178702						
background	0.897956	0.998728	0.946235	0.897604	0.580858	0.648420	0.692681	160	1
abuth	0.223810	0.226848	0.365759						
cotton	0.620809	0.719684	0.766048						
background	0.977257	0.991450	0.988498	0.969322	0.790087	0.850840	0.872897	192	1
abuth	0.817295	0.912276	0.899463						
cotton	0.575711	0.648794	0.730731						
background	0.974838	0.990271	0.987259	0.965347	0.796128	0.892346	0.880504	224	1
abuth	0.758350	0.816280	0.862570						
cotton	0.655197	0.870489	0.791685						
background	0.964899	0.997865	0.982136	0.956008	0.750602	0.830957	0.848765	256	2
abuth	0.689863	0.709113	0.816472						
cotton	0.597044	0.785894	0.747686						
background	0.980109	0.996763	0.989954	0.962701	0.757887	0.871355	0.851425	288	2
abuth	0.733087	0.747167	0.845990						
cotton	0.560465	0.870135	0.718331						
background	0.981496	0.993690	0.990662	0.976559	0.852061	0.923543	0.916673	320	2
abuth	0.849207	0.878093	0.918456						
cotton	0.725480	0.898848	0.840902						
background	0.977503	0.997369	0.988624	0.962326	0.756053	0.858126	0.849481	352	2
abuth	0.745549	0.754932	0.854228						
cotton	0.545107	0.822077	0.705591						
background	0.973059	0.982193	0.986345	0.934464	0.642541	0.834627	0.757011	384	2
abuth	0.555621	0.592939	0.714340						
cotton	0.398942	0.928749	0.570348						
background	0.984714	0.995866	0.992298	0.980308	0.861097	0.902107	0.921561	416	2
abuth	0.880298	0.933047	0.936339						
cotton	0.718279	0.777408	0.836045						
background	0.979949	0.997415	0.989873	0.975974	0.833129	0.871036	0.902979	448	2
abuth	0.862926	0.906859	0.926420						
cotton	0.656513	0.708835	0.792644						
background	0.984545	0.996662	0.992212	0.979569	0.857280	0.897917	0.919365	480	2
abuth	0.869772	0.921665	0.930351						
cotton	0.717523	0.775425	0.835532						
background	0.964060	0.968657	0.981701	0.961156	0.805889	0.900667	0.887927	512	3
abuth	0.770750	0.970330	0.870535						
cotton	0.682857	0.763013	0.811545						
background	0.982859	0.991659	0.991355	0.975061	0.827514	0.883306	0.899955	544	3
abuth	0.836118	0.936325	0.910745						
cotton	0.663567	0.721935	0.797764						
background	0.969528	0.984049	0.984528	0.948193	0.709073	0.877988	0.813934	576	3
abuth	0.673968	0.684890	0.805234						
cotton	0.483722	0.965024	0.652039						
background	0.980774	0.997163	0.990294	0.977768	0.848590	0.880254	0.913567	608	3
abuth	0.871043	0.918871	0.931078						
cotton	0.693951	0.724727	0.819329						
background	0.986615	0.995634	0.993262	0.985416	0.905808	0.939355	0.949151	640	3
abuth	0.914770	0.946939	0.955488						
cotton	0.816040	0.875491	0.898703						
background	0.979459	0.983883	0.989623	0.975942	0.862120	0.949631	0.923422	672	3
abuth	0.848535	0.932730	0.918062						
cotton	0.758367	0.932280	0.862581						
background	0.983901	0.993155	0.991885	0.977148	0.844809	0.898994	0.911691	704	3
abuth	0.846420	0.925288	0.916823						
cotton	0.704106	0.778538	0.826364						
background	0.985727	0.994228	0.992812	0.979384	0.851503	0.896438	0.915489	736	3
abuth	0.865874	0.945978	0.928116						
cotton	0.702909	0.749109	0.825539						
background	0.986108	0.995197	0.993005	0.981555	0.871787	0.911368	0.928599	768	4
abuth	0.880379	0.942379	0.936385						
cotton	0.748873	0.796529	0.856406						
background	0.986320	0.993704	0.993113	0.983843	0.893927	0.938240	0.942158	800	4
abuth	0.901313	0.948328	0.948095						
cotton	0.794149	0.872689	0.885265						
background	0.980646	0.997252	0.990229	0.968984	0.749248	0.795501	0.836569	832	4
abuth	0.818699	0.927148	0.900313						
cotton	0.448399	0.462102	0.619165						
background	0.985361	0.991613	0.992627	0.976141	0.813675	0.866318	0.888399	864	4
abuth	0.853892	0.974111	0.921188						
cotton	0.601772	0.633232	0.751383						
background	0.985345	0.996982	0.992618	0.982513	0.882963	0.916953	0.935552	896	4
abuth	0.890980	0.928500	0.942347						
cotton	0.772563	0.825376	0.871690						
background	0.969988	0.976449	0.984765	0.958303	0.749965	0.836689	0.845554	928	4
abuth	0.739443	0.945839	0.850207						
cotton	0.540466	0.587780	0.701691						
background	0.985452	0.993666	0.992673	0.980249	0.858909	0.904164	0.920130	960	4
abuth	0.877708	0.951624	0.934872						
cotton	0.713568	0.767202	0.832845						
background	0.983871	0.991477	0.991870	0.980763	0.880043	0.940979	0.934058	992	4
abuth	0.878562	0.928468	0.935356						
cotton	0.777695	0.902990	0.874947						
background	0.986411	0.993296	0.993159	0.979514	0.850920	0.906284	0.914917	1024	5
abuth	0.869072	0.943198	0.929950						
cotton	0.697275	0.782359	0.821641						
background	0.987151	0.993058	0.993534	0.980084	0.853332	0.905376	0.916499	1056	5
abuth	0.870110	0.953988	0.930544						
cotton	0.702735	0.769082	0.825419						
background	0.988150	0.993856	0.994040	0.983263	0.880648	0.928225	0.933929	1088	5
abuth	0.891567	0.953600	0.942676						
cotton	0.762226	0.837218	0.865072						
background	0.988265	0.994057	0.994098	0.984188	0.889659	0.934892	0.939495	1120	5
abuth	0.897792	0.953764	0.946144						
cotton	0.782918	0.856856	0.878244						
background	0.988579	0.995182	0.994257	0.985610	0.901103	0.939345	0.946335	1152	5
abuth	0.908971	0.953938	0.952315						
cotton	0.805760	0.868916	0.892433						
background	0.988575	0.995530	0.994255	0.986806	0.913591	0.948708	0.953700	1184	5
abuth	0.918139	0.952236	0.957323						
cotton	0.834058	0.898358	0.909522						
background	0.988669	0.994303	0.994302	0.986848	0.913867	0.950857	0.953852	1216	5
abuth	0.918644	0.962124	0.957597						
cotton	0.834287	0.896144	0.909658						
background	0.988970	0.994809	0.994454	0.986937	0.912815	0.949933	0.953205	1248	5
abuth	0.919343	0.959432	0.957977						
cotton	0.830131	0.895560	0.907182						
background	0.988537	0.994204	0.994236	0.986664	0.912021	0.949126	0.952763	1280	6
abuth	0.918278	0.963246	0.957398						
cotton	0.829248	0.889930	0.906654						
background	0.988705	0.994912	0.994321	0.986879	0.912415	0.946441	0.952955	1312	6
abuth	0.920328	0.962567	0.958511						
cotton	0.828211	0.881846	0.906034						
background	0.988820	0.995616	0.994378	0.987783	0.922744	0.955021	0.958968	1344	6
abuth	0.925089	0.954713	0.961087						
cotton	0.854324	0.914734	0.921440						
background	0.988477	0.996033	0.994205	0.987048	0.916254	0.947399	0.955251	1376	6
abuth	0.919949	0.952018	0.958305						
cotton	0.840336	0.894147	0.913242						
background	0.988607	0.995955	0.994271	0.987518	0.919796	0.949524	0.957260	1408	6
abuth	0.924526	0.955686	0.960783						
cotton	0.846254	0.896931	0.916726						
