Iter	epoch	cotton_to_abuth	abuth_to_cotton
32	1	0.022877	0.542678
64	2	0.130104	0.203826
96	2	0.357867	0.055964
128	3	0.150460	0.045909
160	3	0.507195	0.000807
192	4	0.041642	0.064791
224	4	0.414282	0.001939
256	5	0.078609	0.012877
288	5	0.170248	0.000530
320	6	0.006303	0.030124
352	6	0.364950	0.000001
384	7	0.339556	0.002065
416	7	0.014952	0.013060
448	8	0.193580	0.000015
480	8	0.016388	0.008729
512	9	0.115447	0.000685
544	9	0.028604	0.000261
576	10	0.075231	0.000059
608	10	0.014976	0.000205
640	11	0.013384	0.001247
672	11	0.000274	0.006604
704	12	0.017770	0.000314
736	12	0.020288	0.000007
768	13	0.001469	0.006834
800	13	0.082103	0.002076
832	14	0.128592	0.002189
864	14	0.074977	0.000515
896	15	0.093787	0.004618
928	15	0.000480	0.002889
960	16	0.008137	0.000052
992	16	0.006518	0.000034
1024	17	0.011285	0.000000
1056	18	0.004036	0.000000
1088	18	0.003337	0.000000
1120	19	0.000913	0.000002
1152	19	0.000837	0.000001
1184	20	0.000268	0.000158
1216	20	0.000534	0.000034
1248	21	0.000433	0.000063
1280	21	0.000324	0.000058
1312	22	0.000275	0.000055
1344	22	0.000365	0.000031
1376	23	0.000224	0.000060
1408	23	0.000333	0.000053
1440	24	0.000364	0.000025
1472	24	0.000242	0.000113
1504	25	0.000249	0.000054
1536	25	0.000338	0.000100
1568	26	0.000292	0.000242
1600	26	0.000307	0.000487
1632	27	0.000514	0.000072
1664	27	0.000490	0.000074
1696	28	0.000231	0.000327
1728	28	0.000173	0.000474
1760	29	0.000113	0.000741
1792	29	0.000173	0.001006
1824	30	0.000200	0.001258
1856	30	0.000468	0.000287
1888	31	0.000273	0.000143
1920	31	0.000213	0.000351
1952	32	0.000223	0.000315
1984	32	0.000168	0.000719
2016	33	0.000166	0.000950
2048	34	0.000279	0.000505
2080	34	0.000211	0.000662
2112	35	0.000285	0.000571
2144	35	0.000317	0.000526
2176	36	0.000186	0.000982
2208	36	0.000233	0.000553
2240	37	0.000298	0.000559
2272	37	0.000304	0.000333
2304	38	0.000489	0.000202
2336	38	0.000479	0.000185
2368	39	0.000351	0.000269
2400	39	0.000479	0.000152
2432	40	0.000328	0.000211
2464	40	0.000511	0.000140
2496	41	0.000432	0.000167
2528	41	0.000369	0.000310
2560	42	0.000328	0.000243
2592	42	0.000349	0.000240
2624	43	0.000453	0.000163
2656	43	0.000321	0.000285
2688	44	0.000332	0.000226
2720	44	0.000296	0.000180
2752	45	0.000339	0.000158
2784	45	0.000379	0.000131
2816	46	0.000521	0.000091
2848	46	0.000358	0.000122
2880	47	0.000433	0.000104
2912	47	0.000302	0.000232
2944	48	0.000286	0.000187
2976	48	0.000254	0.000241
3008	49	0.000361	0.000134
3040	50	0.000355	0.000117
3072	50	0.000296	0.000140
3104	51	0.000455	0.000113
3136	51	0.000401	0.000123
3168	52	0.000406	0.000145
3200	52	0.000260	0.000295
3232	53	0.000405	0.000150
3264	53	0.000372	0.000202
3296	54	0.000408	0.000141
3328	54	0.000280	0.000286
3360	55	0.000444	0.000132
3392	55	0.000308	0.000191
3424	56	0.000351	0.000197
3456	56	0.000340	0.000167
3488	57	0.000436	0.000091
3520	57	0.000420	0.000115
3552	58	0.000316	0.000140
3584	58	0.000479	0.000087
3616	59	0.000405	0.000144
3648	59	0.000403	0.000171
3680	60	0.000317	0.000213
3712	60	0.000310	0.000213
3744	61	0.000498	0.000086
3776	61	0.000483	0.000091
3808	62	0.000432	0.000116
3840	62	0.000357	0.000151
3872	63	0.000317	0.000263
3904	63	0.000429	0.000127
3936	64	0.000415	0.000104
3968	64	0.000621	0.000067
4000	65	0.000602	0.000062
