class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.958873	0.997830	0.979005	0.899223	0.489251	0.663827	0.596444	32	1
abuth	0.232250	0.234524	0.376953						
cotton	0.276629	0.759126	0.433375						
background	0.975606	0.996865	0.987653	0.950121	0.688898	0.807800	0.796353	64	2
abuth	0.643823	0.678134	0.783324						
cotton	0.447265	0.748401	0.618083						
background	0.980444	0.994317	0.990125	0.963269	0.729262	0.800325	0.823554	96	2
abuth	0.764014	0.878593	0.866222						
cotton	0.443328	0.528066	0.614314						
background	0.978827	0.997145	0.989300	0.970746	0.803976	0.861842	0.884100	128	3
abuth	0.808773	0.857169	0.894278						
cotton	0.624329	0.731213	0.768722						
background	0.982320	0.993072	0.991081	0.965814	0.727217	0.787556	0.819278	160	3
abuth	0.781472	0.940879	0.877333						
cotton	0.417858	0.428717	0.589421						
background	0.986995	0.996117	0.993455	0.979738	0.858203	0.926207	0.920136	192	4
abuth	0.861197	0.889570	0.925423						
cotton	0.726417	0.892933	0.841531						
background	0.987017	0.994773	0.993466	0.973206	0.777567	0.831315	0.860770	224	4
abuth	0.825260	0.954659	0.904266						
cotton	0.520424	0.544514	0.684577						
background	0.987320	0.994674	0.993620	0.984749	0.901924	0.940500	0.947058	256	5
abuth	0.899540	0.946686	0.947113						
cotton	0.818913	0.880139	0.900442						
background	0.987637	0.996787	0.993780	0.983020	0.872132	0.901333	0.928284	288	5
abuth	0.894604	0.958722	0.944371						
cotton	0.734155	0.748492	0.846701						
background	0.986769	0.997492	0.993341	0.984923	0.906850	0.947771	0.950020	320	6
abuth	0.900136	0.910220	0.947444						
cotton	0.833644	0.935602	0.909276						
background	0.988224	0.996299	0.994077	0.976305	0.800924	0.845357	0.878811	352	6
abuth	0.842211	0.958286	0.914348						
cotton	0.572337	0.581486	0.728008						
background	0.935010	0.937435	0.966414	0.931982	0.728872	0.851773	0.835324	384	7
abuth	0.637095	0.989497	0.778324						
cotton	0.614511	0.628387	0.761235						
background	0.982163	0.985559	0.991001	0.982780	0.893725	0.971971	0.941356	416	7
abuth	0.930866	0.969906	0.964196						
cotton	0.768146	0.960448	0.868872						
background	0.988082	0.991841	0.994005	0.982641	0.872558	0.914286	0.928776	448	8
abuth	0.887801	0.985722	0.940566						
cotton	0.741791	0.765295	0.851757						
background	0.988601	0.991649	0.994268	0.988698	0.935827	0.976783	0.966372	480	8
abuth	0.932235	0.975645	0.964929						
cotton	0.886646	0.963057	0.939917						
background	0.984188	0.988182	0.992031	0.982181	0.897177	0.941259	0.944555	512	9
abuth	0.881522	0.979040	0.937031						
cotton	0.825821	0.856556	0.904602						
background	0.987001	0.991101	0.993458	0.987867	0.936565	0.970830	0.966855	544	9
abuth	0.926241	0.979144	0.961708						
cotton	0.896453	0.942246	0.945400						
background	0.990819	0.995664	0.995388	0.989380	0.927888	0.950911	0.961760	576	10
abuth	0.935016	0.979952	0.966417						
cotton	0.857828	0.877117	0.923474						
background	0.990511	0.996118	0.995233	0.991351	0.951195	0.968436	0.974707	608	10
abuth	0.951469	0.975392	0.975131						
cotton	0.911605	0.933796	0.953759						
background	0.983502	0.985914	0.991682	0.985376	0.934669	0.976116	0.965905	640	11
abuth	0.907546	0.992934	0.951533						
cotton	0.912959	0.949500	0.954499						
background	0.990194	0.996776	0.995073	0.990872	0.948230	0.969466	0.973116	672	11
abuth	0.947396	0.961334	0.972987						
cotton	0.907100	0.950287	0.951287						
background	0.989074	0.997441	0.994507	0.989986	0.945962	0.961561	0.971940	704	12
abuth	0.939353	0.954641	0.968728						
cotton	0.909461	0.932599	0.952584						
background	0.990303	0.996626	0.995128	0.990992	0.950091	0.968188	0.974141	736	12
abuth	0.946349	0.966139	0.972435						
cotton	0.913620	0.941798	0.954860						
background	0.990424	0.996809	0.995189	0.990998	0.949406	0.970383	0.973765	768	13
abuth	0.946452	0.961288	0.972489						
cotton	0.911343	0.953053	0.953615						
background	0.988216	0.992387	0.994073	0.986682	0.915087	0.950175	0.954608	800	13
abuth	0.917508	0.980335	0.956979						
cotton	0.839538	0.877801	0.912770						
background	0.990512	0.996222	0.995233	0.986865	0.903346	0.932037	0.947527	832	14
abuth	0.914165	0.969367	0.955158						
cotton	0.805361	0.830521	0.892188						
background	0.989207	0.997534	0.994574	0.987935	0.914762	0.933210	0.954091	864	14
abuth	0.932901	0.967861	0.965286						
cotton	0.822178	0.834234	0.902413						
background	0.988233	0.997666	0.994082	0.985908	0.907814	0.932724	0.950473	896	15
abuth	0.905486	0.941879	0.950399						
cotton	0.829724	0.858626	0.906939						
background	0.991588	0.996599	0.995776	0.992498	0.958916	0.978101	0.978844	928	15
abuth	0.957823	0.971313	0.978457						
cotton	0.927336	0.966391	0.962298						
background	0.990608	0.994676	0.995282	0.991720	0.952995	0.981462	0.975637	960	16
abuth	0.958306	0.976283	0.978709						
cotton	0.910071	0.973425	0.952918						
background	0.990873	0.997033	0.995415	0.991991	0.955959	0.970503	0.977264	992	16
abuth	0.956271	0.971259	0.977647						
cotton	0.920733	0.943218	0.958731						
background	0.991402	0.995445	0.995683	0.992282	0.957203	0.977206	0.977926	1024	17
abuth	0.957158	0.981517	0.978110						
cotton	0.923049	0.954655	0.959985						
background	0.991420	0.996050	0.995691	0.992564	0.960048	0.977599	0.979446	1056	18
abuth	0.959464	0.978388	0.979313						
cotton	0.929261	0.958359	0.963333						
background	0.991467	0.995895	0.995715	0.992632	0.960276	0.977398	0.979563	1088	18
abuth	0.960327	0.981081	0.979762						
cotton	0.929033	0.955217	0.963211						
background	0.991606	0.995695	0.995785	0.992843	0.962173	0.979707	0.980573	1120	19
abuth	0.961449	0.982488	0.980346						
cotton	0.933465	0.960937	0.965588						
background	0.991487	0.995103	0.995725	0.992748	0.962096	0.981096	0.980537	1152	19
abuth	0.960638	0.985336	0.979924						
cotton	0.934164	0.962848	0.965962						
background	0.991703	0.995686	0.995834	0.992931	0.962911	0.981012	0.980965	1184	20
abuth	0.961645	0.981858	0.980447						
cotton	0.935385	0.965491	0.966614						
background	0.991718	0.995970	0.995842	0.992947	0.963012	0.980245	0.981019	1216	20
abuth	0.961623	0.980261	0.980436						
cotton	0.935695	0.964504	0.966779						
background	0.991766	0.996021	0.995866	0.992988	0.963149	0.980124	0.981090	1248	21
abuth	0.961940	0.980439	0.980601						
cotton	0.935742	0.963913	0.966804						
background	0.991757	0.996040	0.995862	0.992985	0.963226	0.980139	0.981132	1280	21
abuth	0.961832	0.980184	0.980545						
cotton	0.936088	0.964195	0.966989						
background	0.991758	0.996016	0.995862	0.992988	0.963273	0.980232	0.981157	1312	22
abuth	0.961830	0.980328	0.980544						
cotton	0.936231	0.964351	0.967065						
background	0.991719	0.996354	0.995842	0.992952	0.962972	0.978902	0.980998	1344	22
abuth	0.961637	0.978333	0.980444						
cotton	0.935560	0.962019	0.966707						
background	0.991693	0.996546	0.995829	0.992930	0.963246	0.979672	0.981147	1376	23
abuth	0.960949	0.975044	0.980086						
cotton	0.937097	0.967425	0.967527						
background	0.991802	0.996062	0.995884	0.993024	0.963467	0.980731	0.981259	1408	23
abuth	0.962001	0.979619	0.980633						
cotton	0.936597	0.966512	0.967261						
background	0.991794	0.996294	0.995880	0.993017	0.963343	0.979534	0.981193	1440	24
abuth	0.961990	0.978871	0.980627						
cotton	0.936245	0.963438	0.967073						
background	0.991803	0.996434	0.995885	0.993018	0.963408	0.979401	0.981229	1472	24
abuth	0.961793	0.977659	0.980524						
cotton	0.936630	0.964111	0.967278						
background	0.991827	0.996404	0.995897	0.993045	0.963609	0.980015	0.981335	1504	25
abuth	0.961968	0.977433	0.980616						
cotton	0.937031	0.966208	0.967492						
background	0.991837	0.996511	0.995902	0.993045	0.963368	0.979046	0.981206	1536	25
abuth	0.962131	0.977714	0.980700						
cotton	0.936136	0.962913	0.967015						
background	0.991906	0.996180	0.995936	0.993091	0.963624	0.980394	0.981340	1568	26
abuth	0.962345	0.979734	0.980811						
cotton	0.936622	0.965267	0.967274						
background	0.991843	0.996231	0.995905	0.993008	0.962996	0.979701	0.981008	1600	26
abuth	0.961816	0.979156	0.980537						
cotton	0.935328	0.963715	0.966583						
background	0.991766	0.996471	0.995866	0.992981	0.963080	0.978724	0.981054	1632	27
abuth	0.961694	0.977769	0.980473						
cotton	0.935779	0.961930	0.966824						
background	0.991674	0.996713	0.995820	0.992901	0.962592	0.977481	0.980797	1664	27
abuth	0.961246	0.976071	0.980240						
cotton	0.934857	0.959660	0.966332						
background	0.991789	0.996347	0.995877	0.992982	0.963123	0.979653	0.981078	1696	28
abuth	0.961503	0.977722	0.980374						
cotton	0.936077	0.964891	0.966983						
background	0.991815	0.996384	0.995891	0.992989	0.963191	0.980035	0.981115	1728	28
abuth	0.961328	0.976905	0.980283						
cotton	0.936431	0.966817	0.967172						
background	0.991778	0.996509	0.995872	0.992928	0.962511	0.978769	0.980753	1760	29
abuth	0.961110	0.976656	0.980169						
cotton	0.934645	0.963143	0.966219						
background	0.991770	0.996504	0.995868	0.992887	0.962126	0.978743	0.980549	1792	29
abuth	0.960781	0.976241	0.979998						
cotton	0.933827	0.963483	0.965781						
background	0.991791	0.996329	0.995879	0.992876	0.962008	0.979534	0.980487	1824	30
abuth	0.960552	0.976752	0.979879						
cotton	0.933681	0.965522	0.965703						
background	0.991743	0.996492	0.995854	0.992937	0.962876	0.978763	0.980948	1856	30
abuth	0.961154	0.976954	0.980192						
cotton	0.935731	0.962843	0.966799						
background	0.991665	0.996782	0.995815	0.992893	0.962920	0.977954	0.980975	1888	31
abuth	0.960659	0.974609	0.979935						
cotton	0.936436	0.962473	0.967175						
background	0.991753	0.996446	0.995859	0.992948	0.962638	0.978052	0.980819	1920	31
abuth	0.961643	0.978552	0.980446						
cotton	0.934518	0.959158	0.966151						
background	0.991776	0.996444	0.995871	0.992972	0.963149	0.979198	0.981093	1952	32
abuth	0.961299	0.977259	0.980268						
cotton	0.936373	0.963891	0.967141						
background	0.991567	0.996921	0.995766	0.992745	0.961756	0.976930	0.980359	1984	32
abuth	0.959639	0.972794	0.979404						
cotton	0.934063	0.961076	0.965908						
background	0.991742	0.996698	0.995854	0.992868	0.961924	0.977617	0.980441	2016	33
abuth	0.960791	0.975622	0.980003						
cotton	0.933240	0.960530	0.965467						
background	0.991808	0.996568	0.995887	0.992974	0.962896	0.978853	0.980957	2048	34
abuth	0.961372	0.976520	0.980306						
cotton	0.935508	0.963470	0.966680						
background	0.991769	0.996664	0.995867	0.992924	0.962538	0.978389	0.980768	2080	34
abuth	0.961017	0.975575	0.980121						
cotton	0.934829	0.962929	0.966317						
background	0.991829	0.996514	0.995898	0.992984	0.962997	0.979332	0.981011	2112	35
abuth	0.961308	0.976525	0.980272						
cotton	0.935853	0.964957	0.966864						
background	0.991845	0.996448	0.995906	0.993003	0.963035	0.979352	0.981030	2144	35
abuth	0.961554	0.977394	0.980400						
cotton	0.935706	0.964215	0.966785						
background	0.991737	0.996736	0.995851	0.992859	0.962103	0.978179	0.980539	2176	36
abuth	0.960375	0.974339	0.979787						
cotton	0.934197	0.963463	0.965979						
background	0.991824	0.996534	0.995895	0.992984	0.963013	0.979269	0.981020	2208	36
abuth	0.961315	0.976410	0.980276						
cotton	0.935901	0.964864	0.966889						
background	0.991738	0.996722	0.995852	0.992906	0.962337	0.977675	0.980661	2240	37
abuth	0.961129	0.975772	0.980179						
cotton	0.934145	0.960532	0.965951						
background	0.991825	0.996527	0.995896	0.993008	0.963097	0.978896	0.981063	2272	37
abuth	0.961751	0.977299	0.980502						
cotton	0.935716	0.962861	0.966790						
background	0.991841	0.996479	0.995904	0.993031	0.963279	0.979089	0.981159	2304	38
abuth	0.961897	0.977801	0.980578						
cotton	0.936100	0.962986	0.966996						
background	0.991832	0.996463	0.995899	0.993025	0.963298	0.979164	0.981170	2336	38
abuth	0.961831	0.977785	0.980544						
cotton	0.936232	0.963243	0.967066						
background	0.991751	0.996748	0.995858	0.992949	0.962873	0.978072	0.980946	2368	39
abuth	0.961273	0.975489	0.980254						
cotton	0.935596	0.961980	0.966727						
background	0.991826	0.996506	0.995896	0.993024	0.963376	0.979226	0.981212	2400	39
abuth	0.961737	0.977247	0.980496						
cotton	0.936564	0.963926	0.967243						
background	0.991793	0.996633	0.995880	0.992994	0.963226	0.978880	0.981133	2432	40
abuth	0.961494	0.976076	0.980369						
cotton	0.936392	0.963932	0.967151						
background	0.991778	0.996643	0.995872	0.992982	0.963002	0.978246	0.981013	2464	40
abuth	0.961659	0.976722	0.980455						
cotton	0.935570	0.961372	0.966713						
