class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.942580	0.998938	0.970442	0.902019	0.190440	0.231916	0.244511	32	1
abuth	0.269699	0.326172	0.424823						
canger	0.159524	0.229228	0.275154						
cotton	0.090183	0.235257	0.165445						
longkui	0.011228	0.011447	0.022207						
machixian	0.033156	0.036862	0.064185						
niujincao	0.001722	0.001730	0.003439						
tianxuanhua	0.015430	0.015697	0.030392						
background	0.962261	0.998405	0.980768	0.931108	0.255775	0.304187	0.326463	64	1
abuth	0.580449	0.840276	0.734537						
canger	0.072683	0.074551	0.135517						
cotton	0.129240	0.187535	0.228897						
longkui	0.100895	0.108806	0.183297						
machixian	0.018666	0.018917	0.036648						
niujincao	0.007497	0.007609	0.014882						
tianxuanhua	0.174506	0.197394	0.297156						
background	0.975759	0.997243	0.987731	0.939439	0.330669	0.418644	0.435442	96	1
abuth	0.602553	0.788509	0.751991						
canger	0.244082	0.291172	0.392389						
cotton	0.158028	0.200976	0.272925						
longkui	0.116622	0.119630	0.208884						
machixian	0.287692	0.570739	0.446834						
niujincao	0.247347	0.367563	0.396597						
tianxuanhua	0.013264	0.013323	0.026182						
background	0.978306	0.992123	0.989034	0.941782	0.343010	0.412944	0.452732	128	1
abuth	0.594918	0.934466	0.746017						
canger	0.238627	0.270917	0.385309						
cotton	0.279265	0.352502	0.436602						
longkui	0.355318	0.433682	0.524332						
machixian	0.090271	0.101723	0.165594						
niujincao	0.087077	0.093700	0.160205						
tianxuanhua	0.120300	0.124440	0.214764						
background	0.977000	0.997791	0.988366	0.948310	0.397071	0.464524	0.520332	160	1
abuth	0.666344	0.838001	0.799768						
canger	0.405208	0.589581	0.576723						
cotton	0.289560	0.383181	0.449084						
longkui	0.364912	0.385273	0.534704						
machixian	0.119336	0.140035	0.213227						
niujincao	0.156389	0.178886	0.270478						
tianxuanhua	0.197822	0.203441	0.330303						
background	0.977725	0.997789	0.988737	0.953838	0.461297	0.553637	0.584545	192	1
abuth	0.711568	0.869154	0.831481						
canger	0.365984	0.432803	0.535854						
cotton	0.424907	0.616417	0.596400						
longkui	0.578440	0.748333	0.732926						
machixian	0.079267	0.083783	0.146890						
niujincao	0.170343	0.179086	0.291099						
tianxuanhua	0.382142	0.501732	0.552971						
