Iter	epoch	cotton_to_abuth	abuth_to_cotton
32	1	0.162749	0.160065
64	1	0.318742	0.004223
96	1	0.218885	0.002051
128	1	0.403626	0.000299
160	1	0.190805	0.002043
192	1	0.115683	0.002996
224	2	0.006747	0.000366
256	2	0.000056	0.000124
288	2	0.000409	0.004884
320	2	0.000122	0.016202
352	2	0.021414	0.006004
384	2	0.001806	0.001626
416	2	0.000073	0.000697
448	3	0.000000	0.002680
480	3	0.000034	0.011366
512	3	0.000522	0.000091
544	3	0.000004	0.000068
576	3	0.010810	0.000002
608	3	0.001186	0.010723
640	3	0.000375	0.000182
672	4	0.004693	0.000215
704	4	0.001229	0.000487
736	4	0.006870	0.000095
768	4	0.000398	0.000853
800	4	0.000071	0.000149
832	4	0.010378	0.000005
864	4	0.000159	0.000000
896	5	0.001189	0.000000
928	5	0.000010	0.000000
960	5	0.000058	0.000006
992	5	0.000000	0.000231
1024	5	0.000004	0.000012
1056	5	0.000023	0.000001
1088	5	0.000074	0.000000
1120	6	0.000002	0.000000
1152	6	0.000011	0.000000
1184	6	0.000007	0.000000
1216	6	0.000003	0.000000
1248	6	0.000001	0.000000
1280	6	0.000001	0.000000
1312	7	0.000004	0.000000
1344	7	0.000008	0.000000
1376	7	0.000000	0.000000
1408	7	0.000001	0.000000
1440	7	0.000002	0.000000
1472	7	0.000002	0.000000
1504	7	0.000001	0.000000
1536	8	0.000002	0.000000
1568	8	0.000002	0.000000
1600	8	0.000000	0.000000
1632	8	0.000001	0.000000
1664	8	0.000002	0.000000
1696	8	0.000009	0.000000
1728	8	0.000015	0.000000
1760	9	0.000009	0.000000
1792	9	0.000003	0.000000
1824	9	0.000013	0.000000
1856	9	0.000009	0.000000
1888	9	0.000002	0.000000
1920	9	0.000000	0.000000
1952	9	0.000007	0.000000
1984	10	0.000003	0.000000
2016	10	0.000002	0.000000
2048	10	0.000000	0.000000
2080	10	0.000000	0.000000
2112	10	0.000001	0.000000
2144	10	0.000001	0.000000
2176	10	0.000003	0.000000
2208	11	0.000000	0.000000
2240	11	0.000004	0.000000
2272	11	0.000000	0.000000
2304	11	0.000003	0.000000
2336	11	0.000004	0.000000
2368	11	0.000002	0.000000
2400	12	0.000001	0.000000
2432	12	0.000000	0.000000
2464	12	0.000000	0.000000
2496	12	0.000002	0.000000
2528	12	0.000000	0.000000
2560	12	0.000004	0.000000
2592	12	0.000002	0.000000
2624	13	0.000000	0.000000
2656	13	0.000001	0.000000
2688	13	0.000000	0.000000
2720	13	0.000000	0.000000
2752	13	0.000000	0.000000
2784	13	0.000000	0.000000
2816	13	0.000000	0.000000
2848	14	0.000000	0.000000
2880	14	0.000000	0.000000
2912	14	0.000000	0.000000
2944	14	0.000000	0.000000
2976	14	0.000000	0.000000
