Iter	epoch	cotton_to_abuth	abuth_to_cotton
32	1	0.020692	0.034393
64	1	0.017643	0.003740
96	1	0.003886	0.105590
128	1	0.038652	0.159594
160	1	0.090014	0.118718
192	1	0.106026	0.014432
224	2	0.067687	0.163012
256	2	0.332954	0.001435
288	2	0.029996	0.228073
320	2	0.017337	0.025463
352	2	0.016270	0.016256
384	2	0.133694	0.000369
416	2	0.032234	0.015680
448	3	0.045945	0.000766
480	3	0.008938	0.050833
512	3	0.010331	0.022537
544	3	0.018053	0.004970
576	3	0.010543	0.000474
608	3	0.017805	0.006692
640	3	0.085417	0.000141
672	4	0.012879	0.039602
704	4	0.013450	0.019427
736	4	0.010240	0.110484
768	4	0.012523	0.025138
800	4	0.007482	0.040939
832	4	0.037352	0.002141
864	4	0.010935	0.039671
896	5	0.010963	0.009462
928	5	0.004288	0.070679
960	5	0.003392	0.047429
992	5	0.003298	0.120356
1024	5	0.000528	0.123636
1056	5	0.000436	0.096745
1088	5	0.000772	0.069178
1120	6	0.001805	0.046130
1152	6	0.000475	0.054488
1184	6	0.000428	0.058804
1216	6	0.000965	0.058933
1248	6	0.002317	0.037668
1280	6	0.002803	0.032446
1312	7	0.001718	0.050217
1344	7	0.001155	0.055847
1376	7	0.002244	0.036545
1408	7	0.001414	0.042371
1440	7	0.000249	0.046011
1472	7	0.000225	0.045516
1504	7	0.000248	0.042306
1536	8	0.001342	0.018761
1568	8	0.000606	0.027439
1600	8	0.001173	0.023506
1632	8	0.001539	0.018952
1664	8	0.002339	0.008576
1696	8	0.001282	0.007335
1728	8	0.000503	0.013775
1760	9	0.000637	0.018019
1792	9	0.001430	0.005908
1824	9	0.000171	0.020564
1856	9	0.000120	0.026497
1888	9	0.000422	0.010243
1920	9	0.000286	0.018658
1952	9	0.000321	0.010855
1984	10	0.000047	0.016461
2016	10	0.000042	0.017128
2048	10	0.000035	0.018845
2080	10	0.000023	0.021661
2112	10	0.000033	0.016928
2144	10	0.000017	0.025350
2176	10	0.000040	0.015643
2208	11	0.000029	0.019696
2240	11	0.000074	0.010814
2272	11	0.000074	0.011623
2304	11	0.000178	0.008300
2336	11	0.000083	0.011638
