class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.961409	0.997800	0.980325	0.905396	0.343778	0.450771	0.415625	32	1
cotton	0.030527	0.031029	0.059246						
abuth	0.099410	0.108325	0.180843						
others	0.283766	0.665931	0.442084						
background	0.945362	0.998766	0.971914	0.900967	0.327643	0.418264	0.393220	64	1
cotton	0.016591	0.016625	0.032640						
abuth	0.073248	0.078522	0.136498						
others	0.275371	0.579144	0.431829						
background	0.958562	0.998301	0.978843	0.917132	0.388259	0.482849	0.478720	96	1
cotton	0.229301	0.242509	0.373059						
abuth	0.033524	0.034095	0.064873						
others	0.331651	0.656490	0.498105						
background	0.967035	0.997989	0.983241	0.938859	0.519575	0.606282	0.642170	128	1
cotton	0.473975	0.525613	0.643125						
abuth	0.201163	0.238230	0.334947						
others	0.436128	0.663297	0.607367						
background	0.971062	0.997825	0.985318	0.947544	0.582632	0.675658	0.708172	160	1
cotton	0.538131	0.589257	0.699721						
abuth	0.302360	0.426582	0.464326						
others	0.518977	0.688967	0.683325						
background	0.976159	0.996940	0.987936	0.925961	0.457195	0.601493	0.571055	192	1
cotton	0.150826	0.152146	0.262117						
abuth	0.296327	0.414820	0.457180						
others	0.405469	0.842067	0.576988						
background	0.981165	0.996336	0.990493	0.968769	0.724644	0.803861	0.826829	224	2
cotton	0.738785	0.818145	0.849772						
abuth	0.462460	0.602896	0.632441						
others	0.716167	0.798067	0.834612						
background	0.980985	0.996099	0.990401	0.952456	0.626536	0.770378	0.746341	256	2
cotton	0.569241	0.587372	0.725499						
abuth	0.339109	0.853735	0.506469						
others	0.616807	0.644306	0.762994						
background	0.978954	0.997093	0.989365	0.961403	0.649570	0.726240	0.761643	288	2
cotton	0.697311	0.817769	0.821665						
abuth	0.317639	0.369145	0.482134						
others	0.604374	0.720953	0.753408						
background	0.971061	0.997655	0.985318	0.967070	0.746931	0.793897	0.846996	320	2
cotton	0.748600	0.775741	0.856228						
abuth	0.555771	0.613922	0.714464						
others	0.712291	0.788270	0.831974						
background	0.982991	0.995784	0.991422	0.969956	0.717086	0.791058	0.817907	352	2
cotton	0.812144	0.856059	0.896335						
abuth	0.428339	0.469430	0.599772						
others	0.644868	0.842958	0.784097						
background	0.980822	0.996619	0.990318	0.966287	0.712398	0.813197	0.817625	384	2
cotton	0.712991	0.727022	0.832451						
abuth	0.448211	0.714026	0.618986						
others	0.707570	0.815123	0.828745						
background	0.985901	0.994814	0.992900	0.978953	0.817240	0.896542	0.895025	416	2
cotton	0.854369	0.905195	0.921466						
abuth	0.678619	0.870283	0.808545						
others	0.750071	0.815877	0.857189						
background	0.980384	0.997775	0.990095	0.973081	0.776925	0.856552	0.867883	448	3
cotton	0.816674	0.832354	0.899087						
abuth	0.618443	0.869970	0.764244						
others	0.692199	0.726110	0.818106						
background	0.977803	0.998415	0.988777	0.973595	0.783739	0.826540	0.872310	480	3
cotton	0.839673	0.883416	0.912850						
abuth	0.626377	0.690488	0.770272						
others	0.691103	0.733842	0.817340						
background	0.987529	0.994551	0.993725	0.982682	0.849437	0.910962	0.915669	512	3
cotton	0.889567	0.956709	0.941556						
abuth	0.740078	0.850582	0.850626						
others	0.780575	0.842007	0.876767						
background	0.986584	0.996358	0.993247	0.980047	0.822880	0.897749	0.898137	544	3
cotton	0.885894	0.910889	0.939495						
abuth	0.688443	0.891628	0.815476						
others	0.730600	0.792119	0.844331						
background	0.986645	0.996982	0.993277	0.982794	0.848734	0.897646	0.914741	576	3
cotton	0.905393	0.924326	0.950348						
abuth	0.717943	0.807518	0.835817						
others	0.784954	0.861758	0.879523						
background	0.988357	0.995175	0.994144	0.982817	0.846603	0.918057	0.913631	608	3
cotton	0.896305	0.940268	0.945317						
abuth	0.728798	0.905903	0.843127						
others	0.772951	0.830883	0.871937						
background	0.988635	0.993487	0.994285	0.979782	0.814414	0.913774	0.891976	640	3
cotton	0.844274	0.862747	0.915562						
abuth	0.625675	0.882016	0.769742						
others	0.799072	0.916843	0.888316						
background	0.987998	0.995015	0.993963	0.983120	0.850395	0.908125	0.916141	672	4
cotton	0.890769	0.945809	0.942229						
abuth	0.730154	0.818934	0.844034						
others	0.792659	0.872742	0.884339						
background	0.988783	0.996174	0.994360	0.982753	0.847233	0.908024	0.914459	704	4
cotton	0.880567	0.943591	0.936491						
abuth	0.755292	0.872474	0.860589						
others	0.764287	0.819857	0.866398						
background	0.987756	0.995192	0.993840	0.978197	0.803797	0.876663	0.886502	736	4
cotton	0.821839	0.904863	0.902208						
abuth	0.668350	0.769037	0.801210						
others	0.737242	0.837559	0.848750						
background	0.985892	0.996299	0.992896	0.976190	0.792331	0.869924	0.878732	768	4
cotton	0.824137	0.920158	0.903591						
abuth	0.690865	0.854914	0.817173						
others	0.668431	0.708326	0.801269						
background	0.987848	0.996199	0.993887	0.981330	0.837057	0.898178	0.908112	800	4
cotton	0.868405	0.950933	0.929568						
abuth	0.753081	0.866716	0.859151						
others	0.738893	0.778863	0.849843						
background	0.984118	0.997083	0.991995	0.977953	0.813008	0.887439	0.892366	832	4
cotton	0.841732	0.859833	0.914066						
abuth	0.667756	0.889102	0.800784						
others	0.758425	0.803739	0.862618						
background	0.987368	0.992768	0.993644	0.983047	0.854019	0.922883	0.918445	864	4
cotton	0.892218	0.972733	0.943040						
abuth	0.735559	0.873040	0.847634						
others	0.800931	0.852993	0.889463						
background	0.987986	0.996205	0.993957	0.979905	0.815438	0.897618	0.892952	896	5
cotton	0.887825	0.953651	0.940580						
abuth	0.697598	0.925055	0.821865						
others	0.688342	0.715560	0.815406						
background	0.989042	0.995806	0.994491	0.982715	0.843468	0.899164	0.912033	928	5
cotton	0.878447	0.972188	0.935291						
abuth	0.741960	0.818664	0.851868						
others	0.764423	0.809999	0.866485						
background	0.989302	0.995510	0.994622	0.982244	0.842236	0.901210	0.911437	960	5
cotton	0.868411	0.967537	0.929572						
abuth	0.763371	0.839499	0.865808						
others	0.747862	0.802296	0.855745						
background	0.989441	0.995506	0.994692	0.981676	0.830262	0.887321	0.903708	992	5
cotton	0.853075	0.962530	0.920713						
abuth	0.707816	0.757250	0.828914						
others	0.770715	0.833996	0.870513						
