Iter	epoch	cotton_to_abuth	abuth_to_cotton
32	1	0.020700	0.034386
64	1	0.016648	0.002466
96	1	0.003345	0.104811
128	1	0.041698	0.183370
160	1	0.092454	0.116702
192	1	0.099950	0.011602
224	2	0.031108	0.145976
256	2	0.375836	0.001137
288	2	0.030371	0.024669
320	2	0.044959	0.006341
352	2	0.070242	0.012787
384	2	0.134397	0.000429
416	2	0.072517	0.000672
448	3	0.248956	0.001341
480	3	0.020174	0.001469
512	3	0.021910	0.005208
544	3	0.034883	0.000068
576	3	0.054048	0.000006
608	3	0.019118	0.006507
640	3	0.208971	0.000072
672	4	0.015988	0.009004
704	4	0.015050	0.002690
736	4	0.004496	0.126827
768	4	0.016765	0.004106
800	4	0.003879	0.184645
832	4	0.006742	0.030532
864	4	0.000670	0.274343
896	5	0.009751	0.032308
928	5	0.000002	0.189357
960	5	0.000720	0.055851
992	5	0.004773	0.059040
1024	5	0.001740	0.064275
1056	5	0.003391	0.046794
1088	5	0.003253	0.044437
1120	6	0.003452	0.038294
1152	6	0.002116	0.043190
1184	6	0.001692	0.048610
1216	6	0.003778	0.041229
1248	6	0.005117	0.026423
1280	6	0.005875	0.018778
1312	7	0.004901	0.034524
1344	7	0.003757	0.046074
1376	7	0.004408	0.027540
1408	7	0.003610	0.028982
1440	7	0.001794	0.031733
1472	7	0.002055	0.022536
1504	7	0.001210	0.028350
1536	8	0.003704	0.010313
1568	8	0.002229	0.017712
1600	8	0.002467	0.017688
1632	8	0.004559	0.006501
1664	8	0.005220	0.003397
1696	8	0.006270	0.001414
1728	8	0.004373	0.003192
1760	9	0.003399	0.006390
1792	9	0.005114	0.002237
1824	9	0.001060	0.006938
1856	9	0.001354	0.006169
1888	9	0.002129	0.004042
1920	9	0.001733	0.008828
1952	9	0.001515	0.004319
1984	10	0.000197	0.007503
2016	10	0.000161	0.007600
2048	10	0.000133	0.007240
2080	10	0.000145	0.006047
2112	10	0.000115	0.005893
2144	10	0.000061	0.008745
2176	10	0.000205	0.004708
2208	11	0.000058	0.007420
2240	11	0.000253	0.003654
2272	11	0.000305	0.003468
2304	11	0.000537	0.002919
2336	11	0.000341	0.003646
2368	11	0.000302	0.004432
2400	12	0.000234	0.004345
2432	12	0.000356	0.003403
