class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.961635	0.997780	0.980442	0.905437	0.343620	0.450964	0.415252	32	1
cotton	0.030370	0.030866	0.058949						
abuth	0.098363	0.107159	0.179108						
others	0.284115	0.668050	0.442507						
background	0.945840	0.998764	0.972166	0.900739	0.325929	0.417155	0.390088	64	1
cotton	0.012424	0.012442	0.024543						
abuth	0.071702	0.076621	0.133809						
others	0.273751	0.580793	0.429835						
background	0.958687	0.998296	0.978908	0.917453	0.389265	0.483734	0.479657	96	1
cotton	0.235004	0.248497	0.380572						
abuth	0.031127	0.031593	0.060375						
others	0.332243	0.656551	0.498772						
background	0.966674	0.998013	0.983055	0.939716	0.525953	0.609640	0.649025	128	1
cotton	0.493412	0.559168	0.660785						
abuth	0.210310	0.254136	0.347531						
others	0.433414	0.627241	0.604729						
background	0.970652	0.997911	0.985107	0.944541	0.566183	0.663662	0.694088	160	1
cotton	0.494597	0.542572	0.661846						
abuth	0.305789	0.431118	0.468359						
others	0.493695	0.683048	0.661039						
background	0.975846	0.997020	0.987775	0.922064	0.438700	0.586743	0.543497	192	1
cotton	0.088471	0.089081	0.162561						
abuth	0.303216	0.423638	0.465335						
others	0.387268	0.837232	0.558318						
background	0.981821	0.996193	0.990827	0.969859	0.723831	0.796307	0.824949	224	2
cotton	0.770625	0.848081	0.870456						
abuth	0.447062	0.520090	0.617889						
others	0.695815	0.820865	0.820626						
background	0.980998	0.996850	0.990408	0.951494	0.623808	0.768332	0.741656	256	2
cotton	0.502876	0.509685	0.669218						
abuth	0.330644	0.844124	0.496968						
others	0.680716	0.722668	0.810031						
background	0.983557	0.995826	0.991710	0.970223	0.710903	0.788068	0.809149	288	2
cotton	0.815006	0.835381	0.898075						
abuth	0.371873	0.421321	0.542139						
others	0.673178	0.899744	0.804670						
background	0.975880	0.997797	0.987793	0.970584	0.766525	0.828970	0.860826	320	2
cotton	0.791443	0.807885	0.883581						
abuth	0.592108	0.753950	0.743804						
others	0.706671	0.756248	0.828128						
background	0.979096	0.997138	0.989438	0.958128	0.646527	0.745341	0.766199	352	2
cotton	0.630743	0.641153	0.773565						
abuth	0.396287	0.509561	0.567630						
others	0.579982	0.833512	0.734163						
background	0.983852	0.995000	0.991860	0.970754	0.747389	0.858730	0.844548	384	2
cotton	0.761029	0.778516	0.864300						
abuth	0.507613	0.844367	0.673400						
others	0.737063	0.817036	0.848631						
background	0.985076	0.995664	0.992482	0.974964	0.779852	0.878440	0.869035	416	2
cotton	0.820840	0.844551	0.901606						
abuth	0.593031	0.887235	0.744532						
others	0.720460	0.786309	0.837520						
background	0.979007	0.997781	0.989392	0.956858	0.653697	0.781063	0.770916	448	3
cotton	0.605049	0.610411	0.753932						
abuth	0.383845	0.823805	0.554751						
others	0.646886	0.692254	0.785587						
background	0.974926	0.998645	0.987304	0.970418	0.759799	0.803148	0.855071	480	3
cotton	0.815599	0.830320	0.898435						
abuth	0.568520	0.618639	0.724913						
others	0.680151	0.764989	0.809631						
background	0.986560	0.993944	0.993235	0.980705	0.834535	0.910790	0.906351	512	3
cotton	0.872995	0.940847	0.932191						
abuth	0.721670	0.898845	0.838337						
others	0.756915	0.809523	0.861641						
background	0.984274	0.995601	0.992075	0.977937	0.816865	0.892145	0.895328	544	3
cotton	0.833853	0.840355	0.909400						
abuth	0.691198	0.857111	0.817406						
others	0.758135	0.875512	0.862431						
background	0.984183	0.997527	0.992028	0.977557	0.805087	0.875887	0.886511	576	3
cotton	0.835585	0.843830	0.910429						
abuth	0.631354	0.823795	0.774024						
others	0.769227	0.838398	0.869563						
background	0.988236	0.995245	0.994083	0.983737	0.855846	0.917911	0.919391	608	3
cotton	0.900853	0.933927	0.947841						
abuth	0.733411	0.863504	0.846205						
others	0.800884	0.878969	0.889434						
background	0.987523	0.995521	0.993722	0.968906	0.722297	0.848510	0.823963	640	3
cotton	0.682601	0.687784	0.811364						
abuth	0.451989	0.793720	0.622579						
others	0.767075	0.917017	0.868186						
background	0.987796	0.996032	0.993860	0.981361	0.833260	0.899368	0.905339	672	4
cotton	0.877923	0.937042	0.934993						
abuth	0.715915	0.857377	0.834441						
others	0.751408	0.807018	0.858062						
background	0.987639	0.996147	0.993781	0.980477	0.832612	0.901471	0.905457	704	4
cotton	0.854423	0.920232	0.921498						
abuth	0.757092	0.900840	0.861756						
others	0.731292	0.788666	0.844793						
background	0.987688	0.995950	0.993806	0.978187	0.795082	0.859088	0.879749	736	4
cotton	0.835668	0.936379	0.910478						
abuth	0.627641	0.691735	0.771228						
others	0.729330	0.812287	0.843483						
background	0.984981	0.996802	0.992434	0.977688	0.804663	0.872762	0.886626	768	4
cotton	0.849606	0.902759	0.918689						
abuth	0.665172	0.816518	0.798923						
others	0.718891	0.774970	0.836459						
background	0.986483	0.994819	0.993195	0.977361	0.789516	0.850161	0.875817	800	4
cotton	0.821514	0.966814	0.902012						
abuth	0.607166	0.645419	0.755573						
others	0.742903	0.793592	0.852489						
background	0.984096	0.997606	0.991984	0.979309	0.827189	0.876380	0.901975	832	4
cotton	0.854259	0.906378	0.921402						
abuth	0.716237	0.805806	0.834660						
others	0.754163	0.795729	0.859855						
background	0.982639	0.988353	0.991244	0.972651	0.774371	0.850568	0.866530	864	4
cotton	0.755598	0.984368	0.860787						
abuth	0.607300	0.634413	0.755677						
others	0.751946	0.795137	0.858412						
background	0.988050	0.996528	0.993989	0.980917	0.826471	0.894719	0.900722	896	5
cotton	0.881996	0.956166	0.937299						
abuth	0.716365	0.874418	0.834746						
others	0.719473	0.751765	0.836853						
background	0.988468	0.996357	0.994200	0.977555	0.787236	0.851009	0.874856	928	5
cotton	0.822954	0.976647	0.902880						
abuth	0.640941	0.705099	0.781187						
others	0.696581	0.725933	0.821159						
background	0.989042	0.995860	0.994491	0.981895	0.837124	0.894395	0.908076	960	5
cotton	0.870162	0.978643	0.930574						
abuth	0.751162	0.825147	0.857901						
others	0.738128	0.777929	0.849337						
