Iter	epoch	cotton_to_abuth	abuth_to_cotton
32	1	0.038828	0.503720
64	1	0.000375	0.794096
96	2	0.028281	0.577329
128	2	0.017635	0.568823
160	3	0.130902	0.138124
192	3	0.001750	0.711454
224	4	0.022427	0.319183
256	4	0.011655	0.360347
288	5	0.012025	0.389932
320	5	0.051983	0.120029
352	6	0.093691	0.079547
384	6	0.034167	0.171238
416	7	0.023762	0.241594
448	7	0.023822	0.180347
480	8	0.009418	0.264040
512	8	0.032904	0.075116
544	9	0.009409	0.252383
576	9	0.051315	0.039352
608	10	0.026018	0.185313
640	10	0.032481	0.108186
672	11	0.016291	0.115325
704	11	0.017205	0.120787
736	12	0.026015	0.104809
768	12	0.008515	0.183312
800	13	0.014231	0.156098
832	13	0.015505	0.083047
864	14	0.015253	0.071709
896	14	0.014463	0.070449
928	15	0.003549	0.156705
960	15	0.000528	0.269020
992	16	0.032193	0.036096
1024	16	0.019152	0.051758
1056	17	0.036160	0.021307
