class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.953837	0.995672	0.976373	0.932715	0.540609	0.610546	0.622437	32	1
abuth	0.082446	0.089698	0.152333						
cotton	0.585545	0.746266	0.738604						
background	0.964836	0.986728	0.982103	0.934120	0.519162	0.624451	0.575643	64	1
abuth	0.000491	0.000491	0.000981						
cotton	0.592160	0.886135	0.743845						
background	0.965152	0.996351	0.982267	0.941011	0.572901	0.648424	0.662166	96	2
abuth	0.137572	0.146752	0.241869						
cotton	0.615980	0.802170	0.762361						
background	0.973212	0.995895	0.986424	0.949765	0.605981	0.684800	0.692008	128	2
abuth	0.161115	0.168334	0.277518						
cotton	0.683616	0.890170	0.812081						
background	0.977107	0.994119	0.988421	0.961646	0.742419	0.830182	0.840350	160	3
abuth	0.545288	0.723440	0.705743						
cotton	0.704863	0.772988	0.826885						
background	0.974632	0.996860	0.987153	0.946257	0.555299	0.643810	0.610754	192	3
abuth	0.022157	0.022253	0.043354						
cotton	0.669109	0.912319	0.801756						
background	0.983194	0.993831	0.991526	0.969258	0.764048	0.831528	0.853391	224	4
abuth	0.530428	0.572348	0.693176						
cotton	0.778522	0.928404	0.875471						
background	0.979308	0.989451	0.989546	0.965076	0.741322	0.817282	0.835417	256	4
abuth	0.485342	0.508062	0.653509						
cotton	0.759317	0.954332	0.863195						
background	0.979979	0.995499	0.989888	0.964234	0.715882	0.782043	0.810413	288	5
abuth	0.403604	0.419822	0.575097						
cotton	0.764065	0.930809	0.866255						
background	0.983024	0.993933	0.991439	0.975082	0.825003	0.888605	0.898853	320	5
abuth	0.673838	0.779248	0.805141						
cotton	0.818147	0.892635	0.899979						
background	0.984667	0.994062	0.992274	0.974424	0.818743	0.895915	0.894806	352	6
abuth	0.668987	0.836014	0.801669						
cotton	0.802573	0.857670	0.890475						
background	0.979465	0.996190	0.989626	0.971286	0.799405	0.854101	0.881318	384	6
abuth	0.625580	0.695917	0.769670						
cotton	0.793171	0.870196	0.884658						
background	0.984131	0.993840	0.992002	0.973365	0.799779	0.861684	0.880571	416	7
abuth	0.609071	0.660082	0.757047						
cotton	0.806135	0.931129	0.892663						
background	0.982466	0.996794	0.991156	0.974522	0.814490	0.863693	0.891294	448	7
abuth	0.643882	0.694088	0.783368						
cotton	0.817121	0.900198	0.899358						
background	0.981293	0.990329	0.990558	0.971255	0.795634	0.862529	0.878390	480	8
abuth	0.614572	0.652858	0.761282						
cotton	0.791038	0.944401	0.883329						
background	0.984926	0.990589	0.992406	0.980557	0.869737	0.934454	0.927733	512	8
abuth	0.759343	0.875859	0.863212						
cotton	0.864942	0.936913	0.927581						
background	0.985728	0.993340	0.992813	0.975648	0.814824	0.875235	0.891106	544	9
abuth	0.637706	0.682793	0.778779						
cotton	0.821039	0.949573	0.901726						
background	0.982760	0.991193	0.991305	0.978488	0.859455	0.930538	0.921353	576	9
abuth	0.739953	0.905035	0.850544						
cotton	0.855651	0.895387	0.922211						
background	0.979374	0.990790	0.989580	0.971445	0.808761	0.873999	0.888425	608	10
abuth	0.657682	0.721175	0.793496						
cotton	0.789226	0.910033	0.882198						
background	0.983275	0.990880	0.991567	0.977686	0.847593	0.908533	0.913732	640	10
abuth	0.716236	0.791749	0.834659						
cotton	0.843269	0.942969	0.914971						
background	0.985869	0.994841	0.992884	0.981120	0.863659	0.908453	0.923501	672	11
abuth	0.733009	0.783491	0.845938						
cotton	0.872098	0.947028	0.931680						
background	0.986287	0.994912	0.993096	0.981164	0.863713	0.909880	0.923627	704	11
abuth	0.736379	0.791793	0.848177						
cotton	0.868473	0.942934	0.929607						
background	0.983922	0.992808	0.991896	0.978981	0.857812	0.911994	0.920441	736	12
abuth	0.742951	0.815194	0.852521						
cotton	0.846563	0.927980	0.916907						
background	0.983460	0.996477	0.991661	0.976708	0.830259	0.874108	0.902007	768	12
abuth	0.674198	0.703853	0.805398						
cotton	0.833117	0.921995	0.908962						
background	0.986525	0.993238	0.993217	0.980123	0.855958	0.909354	0.918882	800	13
abuth	0.727603	0.783787	0.842327						
cotton	0.853745	0.951037	0.921103						
background	0.985067	0.995091	0.992477	0.981897	0.877865	0.920243	0.932741	832	13
abuth	0.775155	0.838450	0.873338						
cotton	0.873374	0.927188	0.932407						
background	0.984605	0.994035	0.992243	0.982023	0.881853	0.927056	0.935215	864	14
abuth	0.784598	0.858018	0.879299						
cotton	0.876355	0.929115	0.934104						
background	0.986166	0.991874	0.993035	0.983557	0.890769	0.939442	0.940480	896	14
abuth	0.797911	0.863382	0.887598						
cotton	0.888231	0.963072	0.940807						
background	0.986391	0.994493	0.993149	0.980959	0.859399	0.904376	0.920722	928	15
abuth	0.722851	0.758230	0.839134						
cotton	0.868955	0.960404	0.929883						
background	0.985808	0.991492	0.992854	0.975840	0.816539	0.878546	0.892299	960	15
abuth	0.641136	0.668829	0.781332						
cotton	0.822674	0.975318	0.902711						
background	0.986135	0.993689	0.993019	0.983361	0.888851	0.937272	0.939332	992	16
abuth	0.794267	0.883376	0.885339						
cotton	0.886152	0.934751	0.939640						
background	0.978984	0.984813	0.989380	0.977702	0.869394	0.942549	0.927953	1024	16
abuth	0.772642	0.889486	0.871741						
cotton	0.856556	0.953348	0.922737						
background	0.982211	0.988149	0.991026	0.980252	0.877258	0.947905	0.932370	1056	17
abuth	0.771483	0.920184	0.871002						
cotton	0.878079	0.935382	0.935082						
