Iter	epoch	cotton_to_abuth	abuth_to_cotton
50	1	0.003857	0.357251
100	2	0.003914	0.139174
150	3	0.001376	0.219491
200	4	0.013014	0.073485
250	4	0.013631	0.057533
300	5	0.010687	0.040780
350	6	0.000213	0.039752
400	7	0.000095	0.077300
450	8	0.000018	0.117805
500	8	0.000058	0.037003
550	9	0.000167	0.055815
600	10	0.000939	0.037537
650	11	0.000536	0.048015
700	11	0.003110	0.001980
750	12	0.000765	0.000654
800	13	0.000391	0.030636
850	14	0.000434	0.002008
900	15	0.009006	0.000056
950	15	0.000932	0.005991
1000	16	0.006896	0.000004
1050	17	0.000004	0.000013
1100	18	0.000000	0.004068
1150	18	0.000170	0.001044
1200	19	0.000867	0.000015
1250	20	0.000020	0.006981
1300	21	0.000075	0.000668
1350	22	0.000638	0.000308
1400	22	0.001788	0.000010
1450	23	0.001572	0.000001
