class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.894550	0.983594	0.944340	0.884011	0.399444	0.459747	0.472967	50	1
abuth	0.010805	0.010963	0.021380						
cotton	0.292976	0.384684	0.453181						
background	0.896830	0.984023	0.945609	0.895993	0.476231	0.531141	0.589287	100	2
abuth	0.170606	0.181510	0.291483						
cotton	0.361256	0.427891	0.530769						
background	0.915515	0.979117	0.955894	0.912366	0.531929	0.601793	0.640760	150	3
abuth	0.170092	0.179924	0.290732						
cotton	0.510180	0.646338	0.675655						
background	0.915891	0.954855	0.956100	0.920005	0.638752	0.751605	0.760200	200	4
abuth	0.412409	0.502444	0.583980						
cotton	0.587957	0.797518	0.740520						
background	0.924526	0.962306	0.960783	0.928512	0.668908	0.777435	0.785969	250	4
abuth	0.459333	0.592301	0.629511						
cotton	0.622865	0.777698	0.767612						
background	0.923113	0.971645	0.960019	0.927488	0.651788	0.736170	0.771184	300	5
abuth	0.431928	0.522413	0.603282						
cotton	0.600322	0.714453	0.750251						
background	0.924387	0.971152	0.960708	0.929809	0.658910	0.740770	0.775960	350	6
abuth	0.423613	0.494820	0.595124						
cotton	0.628731	0.756338	0.772050						
background	0.924888	0.970844	0.960978	0.928674	0.658218	0.745331	0.777021	400	7
abuth	0.447546	0.538252	0.618352						
cotton	0.602220	0.726899	0.751732						
background	0.925384	0.966497	0.961246	0.927681	0.643828	0.736525	0.761329	450	8
abuth	0.386837	0.442405	0.557869						
cotton	0.619264	0.800673	0.764871						
background	0.925929	0.967102	0.961540	0.931730	0.673749	0.764565	0.788778	500	8
abuth	0.448482	0.529032	0.619244						
cotton	0.646835	0.797559	0.785549						
background	0.926001	0.972434	0.961579	0.930593	0.656040	0.735587	0.772516	550	9
abuth	0.409257	0.469603	0.580813						
cotton	0.632861	0.764724	0.775156						
background	0.925691	0.971489	0.961412	0.931089	0.658977	0.739183	0.774432	600	10
abuth	0.405952	0.465656	0.577476						
cotton	0.645289	0.780403	0.784408						
background	0.927255	0.971066	0.962254	0.932218	0.673924	0.759968	0.789712	650	11
abuth	0.461853	0.553734	0.631874						
cotton	0.632664	0.755102	0.775008						
background	0.926541	0.966479	0.961870	0.933624	0.689831	0.784058	0.802901	700	11
abuth	0.484671	0.591669	0.652901						
cotton	0.658282	0.794025	0.793932						
background	0.927359	0.968344	0.962311	0.934571	0.694417	0.785955	0.806995	750	12
abuth	0.498857	0.611874	0.665650						
cotton	0.657033	0.777647	0.793024						
background	0.925584	0.975329	0.961354	0.931075	0.652748	0.724268	0.768509	800	13
abuth	0.391920	0.440382	0.563135						
cotton	0.640740	0.757092	0.781038						
background	0.927520	0.968537	0.962397	0.934686	0.694700	0.785928	0.807233	850	14
abuth	0.499633	0.612396	0.666340						
cotton	0.656948	0.776849	0.792961						
background	0.923814	0.970380	0.960398	0.930222	0.679539	0.775042	0.796462	900	15
abuth	0.507585	0.667595	0.673375						
cotton	0.607218	0.687150	0.755614						
background	0.926863	0.961526	0.962044	0.934302	0.704547	0.815828	0.815639	950	15
abuth	0.524115	0.681623	0.687763						
cotton	0.662662	0.804336	0.797110						
background	0.927872	0.966797	0.962587	0.934620	0.700026	0.801864	0.812113	1000	16
abuth	0.520343	0.676862	0.684507						
cotton	0.651864	0.761933	0.789246						
background	0.926399	0.974032	0.961794	0.933350	0.684672	0.764220	0.799776	1050	17
abuth	0.497494	0.600250	0.664435						
cotton	0.630123	0.718378	0.773099						
background	0.927578	0.969111	0.962428	0.934653	0.696794	0.789618	0.809429	1100	18
abuth	0.513007	0.642496	0.678129						
cotton	0.649798	0.757247	0.787731						
background	0.927346	0.970113	0.962304	0.934478	0.696284	0.787327	0.809284	1150	18
abuth	0.517859	0.648296	0.682355						
cotton	0.643648	0.743572	0.783194						
background	0.925878	0.973180	0.961513	0.932817	0.685015	0.768063	0.800361	1200	19
abuth	0.504004	0.619470	0.670216						
cotton	0.625163	0.711538	0.769354						
background	0.927933	0.970299	0.962620	0.934788	0.693137	0.781237	0.806057	1250	20
abuth	0.499497	0.610747	0.666220						
cotton	0.651980	0.762664	0.789331						
background	0.924094	0.977668	0.960550	0.930799	0.666243	0.735972	0.784344	1300	21
abuth	0.466192	0.547175	0.635922						
cotton	0.608443	0.683073	0.756561						
background	0.926568	0.973228	0.961885	0.933497	0.682929	0.762733	0.797646	1350	22
abuth	0.481583	0.576762	0.650092						
cotton	0.640635	0.738210	0.780960						
background	0.926482	0.966376	0.961838	0.933786	0.698881	0.801939	0.811423	1400	22
abuth	0.521730	0.687419	0.685707						
cotton	0.648431	0.752023	0.786725						
background	0.923182	0.979648	0.960057	0.929645	0.645751	0.707247	0.763522	1450	23
abuth	0.393036	0.438613	0.564287						
cotton	0.621035	0.703481	0.766221						
