class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.956637	0.997051	0.977838	0.927838	0.566575	0.651107	0.683103	17	2
abuth	0.283352	0.439784	0.441581						
cotton	0.459737	0.516484	0.629890						
background	0.975912	0.995973	0.987809	0.951228	0.676301	0.775922	0.786213	34	3
abuth	0.438244	0.656075	0.609415						
cotton	0.614747	0.675719	0.761416						
background	0.971299	0.997126	0.985441	0.954418	0.697442	0.776606	0.803136	51	4
abuth	0.450631	0.613302	0.621290						
cotton	0.670395	0.719391	0.802678						
background	0.974095	0.996751	0.986878	0.955685	0.656735	0.725511	0.752407	68	5
abuth	0.276832	0.292344	0.433623						
cotton	0.719278	0.887438	0.836721						
background	0.977070	0.996427	0.988402	0.962336	0.714048	0.777523	0.810403	85	6
abuth	0.412260	0.447153	0.583830						
cotton	0.752815	0.888990	0.858978						
