Iter	epoch	cotton_to_abuth	abuth_to_cotton
218	1	0.006012	0.351531
436	1	0.018879	0.152457
654	2	0.007771	0.311530
872	2	0.027607	0.081427
1090	3	0.003885	0.252586
1308	3	0.050239	0.026435
1526	4	0.004899	0.079716
1744	4	0.006136	0.131028
1962	5	0.039885	0.000137
2180	5	0.009919	0.001183
2398	6	0.007450	0.003815
2616	6	0.007178	0.000344
2834	7	0.016666	0.000119
3052	7	0.007089	0.000484
3270	8	0.021748	0.000129
3488	8	0.001902	0.038751
3706	9	0.016364	0.000017
3924	9	0.006594	0.001654
4142	10	0.000012	0.092244
4360	10	0.003096	0.017606
4578	11	0.000201	0.008317
4796	11	0.001791	0.037251
5014	12	0.000170	0.005321
5232	12	0.003506	0.003126
5450	13	0.000502	0.030053
5668	13	0.000009	0.028619
5886	14	0.003670	0.003870
6104	14	0.004825	0.000283
6322	15	0.010071	0.002079
6540	15	0.007434	0.002407
6758	16	0.005900	0.011841
6976	16	0.006871	0.003850
7194	17	0.003424	0.004898
7412	17	0.014010	0.000016
7630	18	0.010078	0.000474
7848	18	0.007950	0.006566
8066	19	0.009035	0.008670
8284	19	0.007511	0.003894
8502	20	0.005714	0.009538
