class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.966601	0.998313	0.983017	0.944308	0.390718	0.463208	0.517575	218	1
cotton	0.696151	0.808963	0.820860						
abuth	0.268395	0.285251	0.423205						
canger	0.297561	0.429841	0.458646						
machixian	0.190743	0.197024	0.320377						
longkui	0.309049	0.418581	0.472173						
tianxuanhua	0.213493	0.372089	0.351865						
niujincao	0.183754	0.195602	0.310460						
background	0.985014	0.996075	0.992450	0.965531	0.570465	0.667532	0.700142	436	1
cotton	0.824874	0.915473	0.904034						
abuth	0.565240	0.711470	0.722241						
canger	0.362909	0.451984	0.532550						
machixian	0.719890	0.826792	0.837135						
longkui	0.322446	0.466174	0.487651						
tianxuanhua	0.370090	0.517195	0.540242						
niujincao	0.413257	0.455093	0.584830						
background	0.986041	0.992757	0.992972	0.960394	0.516429	0.622773	0.629756	654	2
cotton	0.751527	0.961453	0.858139						
abuth	0.468493	0.623602	0.638060						
canger	0.449185	0.671317	0.619914						
machixian	0.702892	0.761089	0.825527						
longkui	0.084350	0.089069	0.155576						
tianxuanhua	0.130932	0.138206	0.231548						
niujincao	0.558016	0.744692	0.716316						
background	0.983597	0.997178	0.991731	0.963743	0.568671	0.654046	0.688366	872	2
cotton	0.775436	0.883661	0.873516						
abuth	0.585891	0.799855	0.738879						
canger	0.442874	0.622361	0.613878						
machixian	0.683225	0.714783	0.811805						
longkui	0.102845	0.110268	0.186508						
tianxuanhua	0.357501	0.409251	0.526705						
niujincao	0.618002	0.695014	0.763907						
background	0.987550	0.995173	0.993736	0.964600	0.552209	0.643493	0.664218	1090	3
cotton	0.778558	0.955407	0.875494						
abuth	0.549163	0.636033	0.708980						
canger	0.474892	0.766768	0.643968						
machixian	0.721695	0.800702	0.838354						
longkui	0.132530	0.144931	0.234042						
tianxuanhua	0.137580	0.146694	0.241882						
niujincao	0.635706	0.702236	0.777286						
background	0.980168	0.997280	0.989985	0.964407	0.603217	0.689771	0.727207	1308	3
cotton	0.751919	0.792903	0.858395						
abuth	0.651122	0.861066	0.788703						
canger	0.509816	0.769448	0.675336						
machixian	0.681248	0.724572	0.810408						
longkui	0.411795	0.501762	0.583364						
tianxuanhua	0.196764	0.206344	0.328827						
niujincao	0.642899	0.664791	0.782640						
background	0.988399	0.996311	0.994166	0.974215	0.655747	0.755811	0.766649	1526	4
cotton	0.908194	0.956952	0.951888						
abuth	0.618099	0.816632	0.763982						
canger	0.329222	0.373689	0.495361						
machixian	0.792737	0.857281	0.884388						
longkui	0.600005	0.900641	0.750004						
tianxuanhua	0.303893	0.321395	0.466132						
niujincao	0.705424	0.823588	0.827271						
background	0.987067	0.995929	0.993491	0.969894	0.612962	0.708659	0.730957	1744	4
cotton	0.839867	0.929055	0.912965						
abuth	0.592849	0.819552	0.744389						
canger	0.467666	0.648718	0.637293						
machixian	0.765492	0.841049	0.867171						
longkui	0.414904	0.439389	0.586477						
tianxuanhua	0.192568	0.204167	0.322946						
niujincao	0.643280	0.791412	0.782922						
background	0.988703	0.996208	0.994320	0.973752	0.662187	0.748608	0.778653	1962	5
cotton	0.902312	0.917260	0.948648						
abuth	0.560229	0.955110	0.718137						
canger	0.465659	0.538803	0.635426						
machixian	0.746449	0.799259	0.854819						
longkui	0.625892	0.674351	0.769906						
tianxuanhua	0.338405	0.367677	0.505684						
niujincao	0.669851	0.740197	0.802288						
