class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.975374	0.996436	0.987534	0.948248	0.388099	0.476884	0.506143	218	1
cotton	0.745318	0.886759	0.854077						
abuth	0.227207	0.235911	0.370284						
canger	0.335297	0.499971	0.502205						
machixian	0.233400	0.255380	0.378466						
longkui	0.305598	0.456407	0.468135						
tianxuanhua	0.191418	0.389601	0.321328						
niujincao	0.091177	0.094605	0.167117						
background	0.979587	0.997297	0.989688	0.960650	0.563214	0.661202	0.696223	436	1
cotton	0.773136	0.844695	0.872055						
abuth	0.519448	0.637478	0.683733						
canger	0.300474	0.353138	0.462099						
machixian	0.704942	0.796374	0.826939						
longkui	0.363431	0.566656	0.533112						
tianxuanhua	0.370433	0.540909	0.540607						
niujincao	0.494263	0.553070	0.661547						
background	0.985791	0.995407	0.992845	0.965498	0.559012	0.658224	0.684540	654	2
cotton	0.812782	0.946955	0.896724						
abuth	0.537678	0.658922	0.699337						
canger	0.456805	0.696052	0.627133						
machixian	0.661158	0.702334	0.796020						
longkui	0.297958	0.344300	0.459118						
tianxuanhua	0.178019	0.192454	0.302235						
niujincao	0.541909	0.729371	0.702906						
background	0.985271	0.996561	0.992581	0.965896	0.571283	0.667710	0.697542	872	2
cotton	0.824124	0.904970	0.903583						
abuth	0.565737	0.794612	0.722646						
canger	0.442015	0.622862	0.613052						
machixian	0.667125	0.706241	0.800330						
longkui	0.271635	0.323916	0.427222						
tianxuanhua	0.248701	0.276219	0.398336						
niujincao	0.565659	0.716298	0.722583						
