Device: cuda
Dataset: cottonweed, Train set: 513, Val set: 146
[!] Retrain
Epoch 1, Itrs 10/10000, Loss=0.854346
Epoch 1, Itrs 20/10000, Loss=0.496505
Epoch 1, Itrs 30/10000, Loss=0.332868
Epoch 1, Itrs 40/10000, Loss=0.323976
Epoch 1, Itrs 50/10000, Loss=0.301124
Epoch 1, Itrs 60/10000, Loss=0.226856
Epoch 2, Itrs 70/10000, Loss=0.266796
Epoch 2, Itrs 80/10000, Loss=0.436787
Epoch 2, Itrs 90/10000, Loss=0.308752
Epoch 2, Itrs 100/10000, Loss=0.281831
Epoch 2, Itrs 110/10000, Loss=0.279039
Epoch 2, Itrs 120/10000, Loss=0.359982
Epoch 3, Itrs 130/10000, Loss=0.148170
Epoch 3, Itrs 140/10000, Loss=0.265207
Epoch 3, Itrs 150/10000, Loss=0.251486
Epoch 3, Itrs 160/10000, Loss=0.150130
Epoch 3, Itrs 170/10000, Loss=0.166982
Epoch 3, Itrs 180/10000, Loss=0.178934
Epoch 3, Itrs 190/10000, Loss=0.352173
Epoch 4, Itrs 200/10000, Loss=0.145903
Epoch 4, Itrs 210/10000, Loss=0.251765
Epoch 4, Itrs 220/10000, Loss=0.180071
Epoch 4, Itrs 230/10000, Loss=0.141849
Epoch 4, Itrs 240/10000, Loss=0.270346
Epoch 4, Itrs 250/10000, Loss=0.206059
Epoch 5, Itrs 260/10000, Loss=0.130562
Epoch 5, Itrs 270/10000, Loss=0.110565
Epoch 5, Itrs 280/10000, Loss=0.168950
Epoch 5, Itrs 290/10000, Loss=0.282388
Epoch 5, Itrs 300/10000, Loss=0.302519
Epoch 5, Itrs 310/10000, Loss=0.222579
Epoch 5, Itrs 320/10000, Loss=0.196452
Epoch 6, Itrs 330/10000, Loss=0.241623
Epoch 6, Itrs 340/10000, Loss=0.305745
Epoch 6, Itrs 350/10000, Loss=0.169984
Epoch 6, Itrs 360/10000, Loss=0.096567
Epoch 6, Itrs 370/10000, Loss=0.241558
Epoch 6, Itrs 380/10000, Loss=0.179257
Epoch 7, Itrs 390/10000, Loss=0.131198
Epoch 7, Itrs 400/10000, Loss=0.211689
Epoch 7, Itrs 410/10000, Loss=0.341581
Epoch 7, Itrs 420/10000, Loss=0.136926
Epoch 7, Itrs 430/10000, Loss=0.195008
Epoch 7, Itrs 440/10000, Loss=0.140798
Epoch 8, Itrs 450/10000, Loss=0.154146
Epoch 8, Itrs 460/10000, Loss=0.238224
Epoch 8, Itrs 470/10000, Loss=0.152846
Epoch 8, Itrs 480/10000, Loss=0.118678
Epoch 8, Itrs 490/10000, Loss=0.148381
Epoch 8, Itrs 500/10000, Loss=0.156955
Epoch 8, Itrs 510/10000, Loss=0.155612
Epoch 9, Itrs 520/10000, Loss=0.246205
Epoch 9, Itrs 530/10000, Loss=0.163444
Epoch 9, Itrs 540/10000, Loss=0.121105
Epoch 9, Itrs 550/10000, Loss=0.171300
Epoch 9, Itrs 560/10000, Loss=0.205627
Epoch 9, Itrs 570/10000, Loss=0.167413
Epoch 10, Itrs 580/10000, Loss=0.125928
Epoch 10, Itrs 590/10000, Loss=0.159712
Epoch 10, Itrs 600/10000, Loss=0.237453
Epoch 10, Itrs 610/10000, Loss=0.247281
Epoch 10, Itrs 620/10000, Loss=0.247676
Epoch 10, Itrs 630/10000, Loss=0.187126
Epoch 10, Itrs 640/10000, Loss=0.238489
Epoch 11, Itrs 650/10000, Loss=0.250934
Epoch 11, Itrs 660/10000, Loss=0.148590
Epoch 11, Itrs 670/10000, Loss=0.131694
Epoch 11, Itrs 680/10000, Loss=0.135496
Epoch 11, Itrs 690/10000, Loss=0.272200
Epoch 11, Itrs 700/10000, Loss=0.151459
Epoch 12, Itrs 710/10000, Loss=0.123055
Epoch 12, Itrs 720/10000, Loss=0.210739
Epoch 12, Itrs 730/10000, Loss=0.108773
Epoch 12, Itrs 740/10000, Loss=0.216017
Epoch 12, Itrs 750/10000, Loss=0.127541
Epoch 12, Itrs 760/10000, Loss=0.141601
Epoch 13, Itrs 770/10000, Loss=0.155846
Epoch 13, Itrs 780/10000, Loss=0.172374
Epoch 13, Itrs 790/10000, Loss=0.226360
Epoch 13, Itrs 800/10000, Loss=0.180964
Epoch 13, Itrs 810/10000, Loss=0.165427
Epoch 13, Itrs 820/10000, Loss=0.136605
Epoch 13, Itrs 830/10000, Loss=0.166683
Epoch 14, Itrs 840/10000, Loss=0.111465
Epoch 14, Itrs 850/10000, Loss=0.184065
Epoch 14, Itrs 860/10000, Loss=0.089662
Epoch 14, Itrs 870/10000, Loss=0.208774
Epoch 14, Itrs 880/10000, Loss=0.159408
Epoch 14, Itrs 890/10000, Loss=0.260169
Epoch 15, Itrs 900/10000, Loss=0.134042
Epoch 15, Itrs 910/10000, Loss=0.099132
Epoch 15, Itrs 920/10000, Loss=0.129524
Epoch 15, Itrs 930/10000, Loss=0.228783
Epoch 15, Itrs 940/10000, Loss=0.164495
Epoch 15, Itrs 950/10000, Loss=0.206497
Epoch 15, Itrs 960/10000, Loss=0.136290
Epoch 16, Itrs 970/10000, Loss=0.195052
Epoch 16, Itrs 980/10000, Loss=0.127163
Epoch 16, Itrs 990/10000, Loss=0.112453
Epoch 16, Itrs 1000/10000, Loss=0.190764
Epoch 16, Itrs 1010/10000, Loss=0.296353
Epoch 16, Itrs 1020/10000, Loss=0.119806
Epoch 17, Itrs 1030/10000, Loss=0.099709
Epoch 17, Itrs 1040/10000, Loss=0.118677
Epoch 17, Itrs 1050/10000, Loss=0.151587
Epoch 17, Itrs 1060/10000, Loss=0.180285
Epoch 17, Itrs 1070/10000, Loss=0.175529
Epoch 17, Itrs 1080/10000, Loss=0.293160
Epoch 18, Itrs 1090/10000, Loss=0.149789
Epoch 18, Itrs 1100/10000, Loss=0.120199
Epoch 18, Itrs 1110/10000, Loss=0.117474
Epoch 18, Itrs 1120/10000, Loss=0.185201
Epoch 18, Itrs 1130/10000, Loss=0.137632
Epoch 18, Itrs 1140/10000, Loss=0.123953
Epoch 18, Itrs 1150/10000, Loss=0.144772
Epoch 19, Itrs 1160/10000, Loss=0.111009
Epoch 19, Itrs 1170/10000, Loss=0.088281
Epoch 19, Itrs 1180/10000, Loss=0.082490
Epoch 19, Itrs 1190/10000, Loss=0.153925
Epoch 19, Itrs 1200/10000, Loss=0.108453
Epoch 19, Itrs 1210/10000, Loss=0.089543
Epoch 20, Itrs 1220/10000, Loss=0.086166
