Iter	epoch	cotton_to_abuth	abuth_to_cotton
200	1	0.001232	0.503183
400	2	0.016392	0.003004
600	3	0.024048	0.000956
800	4	0.037415	0.003704
1000	5	0.006381	0.000214
1200	6	0.016056	0.073967
1400	6	0.010281	0.036766
1600	7	0.005842	0.051965
1800	8	0.007714	0.000002
2000	9	0.000057	0.021288
2200	10	0.000095	0.023065
2400	11	0.000549	0.000961
2600	11	0.002382	0.000002
2800	12	0.000272	0.013442
3000	13	0.000046	0.003352
3200	14	0.000051	0.005888
3400	15	0.000000	0.000769
3600	16	0.000000	0.001508
3800	16	0.000833	0.000270
4000	17	0.000019	0.005657
4200	18	0.000000	0.031592
4400	19	0.000299	0.000501
4600	20	0.000000	0.025258
4800	21	0.000000	0.061545
5000	22	0.000000	0.079306
5200	22	0.000000	0.001972
5400	23	0.000000	0.002602
5600	24	0.000000	0.003152
5800	25	0.000837	0.000000
6000	26	0.000075	0.000108
6200	27	0.000000	0.009767
6400	27	0.002429	0.000000
6600	28	0.000071	0.000102
6800	29	0.000000	0.001686
7000	30	0.000000	0.010309
7200	31	0.000151	0.000362
7400	32	0.000000	0.014453
7600	32	0.000000	0.011131
7800	33	0.000000	0.001521
8000	34	0.000000	0.002783
8200	35	0.000000	0.039438
8400	36	0.000000	0.001399
8600	37	0.000000	0.001297
8800	37	0.000000	0.002245
9000	38	0.000000	0.023056
9200	39	0.000000	0.010429
9400	40	0.000000	0.011501
9600	41	0.000000	0.012850
9800	42	0.000000	0.005415
10000	43	0.000000	0.001294
10200	43	0.000000	0.001081
10400	44	0.000000	0.000201
10600	45	0.000000	0.000590
10800	46	0.000000	0.000499
11000	47	0.000000	0.002065
11200	48	0.000000	0.002583
11400	48	0.000000	0.006714
11600	49	0.000000	0.008720
11800	50	0.000000	0.006197
12000	51	0.000000	0.007804
