class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.973505	0.996573	0.986575	0.942476	0.339597	0.435119	0.446993	200	1
cotton	0.672587	0.922788	0.804248						
abuth	0.220219	0.233112	0.360950						
canger	0.147120	0.159351	0.256504						
machixian	0.211835	0.221890	0.349610						
longkui	0.139470	0.216997	0.244798						
tianxuanhua	0.074696	0.080950	0.139008						
niujincao	0.277342	0.649290	0.434249						
background	0.986583	0.994911	0.993246	0.966236	0.514986	0.659693	0.636855	400	2
cotton	0.895906	0.945709	0.945095						
abuth	0.659175	0.925185	0.794581						
canger	0.355419	0.421726	0.524442						
machixian	0.424511	0.468836	0.596010						
longkui	0.348547	0.473118	0.516923						
tianxuanhua	0.157843	0.191440	0.272650						
niujincao	0.291902	0.856620	0.451895						
background	0.986467	0.995847	0.993188	0.968996	0.570554	0.672902	0.686257	600	3
cotton	0.877693	0.935500	0.934863						
abuth	0.645731	0.864662	0.784734						
canger	0.491941	0.760885	0.659464						
machixian	0.673626	0.769426	0.804990						
longkui	0.131329	0.138500	0.232168						
tianxuanhua	0.269583	0.341623	0.424679						
niujincao	0.488062	0.576774	0.655970						
background	0.986557	0.992197	0.993233	0.968778	0.574939	0.721392	0.706551	800	4
cotton	0.887080	0.944437	0.940162						
abuth	0.618916	0.935960	0.764606						
canger	0.466455	0.595356	0.636167						
machixian	0.340454	0.370344	0.507968						
longkui	0.484210	0.544167	0.652481						
tianxuanhua	0.379720	0.562049	0.550430						
niujincao	0.436121	0.826624	0.607360						
background	0.987251	0.993234	0.993584	0.972657	0.596305	0.709173	0.701082	1000	5
cotton	0.928819	0.974278	0.963096						
abuth	0.659266	0.964186	0.794648						
canger	0.487204	0.696535	0.655194						
machixian	0.731160	0.891819	0.844705						
longkui	0.369953	0.405747	0.540096						
tianxuanhua	0.056977	0.057269	0.107811						
niujincao	0.549814	0.690318	0.709523						
background	0.987322	0.995587	0.993620	0.973569	0.649459	0.747573	0.770932	1200	6
cotton	0.897786	0.946813	0.946140						
abuth	0.610266	0.657356	0.757969						
canger	0.531221	0.867096	0.693852						
machixian	0.769642	0.884543	0.869828						
longkui	0.456884	0.544633	0.627208						
tianxuanhua	0.427276	0.535042	0.598730						
niujincao	0.515279	0.549511	0.680111						
background	0.982375	0.990663	0.991109	0.962094	0.510034	0.631797	0.625341	1400	6
cotton	0.863646	0.969354	0.926835						
abuth	0.504080	0.935254	0.670283						
canger	0.353748	0.366777	0.522620						
machixian	0.617925	0.646723	0.763849						
longkui	0.261275	0.323632	0.414303						
tianxuanhua	0.050520	0.051258	0.096181						
niujincao	0.446703	0.770711	0.617546						
background	0.988266	0.995023	0.994098	0.977094	0.679761	0.789299	0.794770	1600	7
cotton	0.924891	0.964830	0.960980						
abuth	0.734250	0.883762	0.846764						
canger	0.519902	0.698023	0.684126						
machixian	0.750846	0.791215	0.857695						
longkui	0.500879	0.617559	0.667447						
tianxuanhua	0.457835	0.506562	0.628103						
niujincao	0.561221	0.857417	0.718951						
background	0.989585	0.994113	0.994765	0.978749	0.698610	0.804343	0.804636	1800	8
cotton	0.944133	0.978294	0.971264						
abuth	0.766518	0.926165	0.867830						
canger	0.466412	0.580449	0.636127						
machixian	0.772070	0.905192	0.871376						
longkui	0.565446	0.823531	0.722409						
tianxuanhua	0.368831	0.388072	0.538900						
niujincao	0.715881	0.838927	0.834418						
background	0.989279	0.995608	0.994611	0.976939	0.670919	0.754504	0.780965	2000	9
cotton	0.894989	0.966251	0.944585						
abuth	0.794891	0.942249	0.885726						
canger	0.544343	0.792233	0.704951						
machixian	0.787415	0.901510	0.881066						
longkui	0.298869	0.309388	0.460199						
tianxuanhua	0.450061	0.495174	0.620748						
niujincao	0.607501	0.633617	0.755833						
background	0.987747	0.993945	0.993836	0.975194	0.656956	0.779726	0.766845	2200	10
cotton	0.923130	0.980330	0.960029						
abuth	0.765847	0.929584	0.867399						
canger	0.249628	0.268064	0.399524						
machixian	0.774221	0.863261	0.872745						
longkui	0.528713	0.854447	0.691710						
tianxuanhua	0.435168	0.499532	0.606435						
niujincao	0.591191	0.848644	0.743080						
background	0.988184	0.994048	0.994057	0.977660	0.681110	0.764864	0.781392	2400	11
cotton	0.910056	0.981687	0.952910						
abuth	0.792724	0.959565	0.884380						
canger	0.597126	0.884437	0.747750						
machixian	0.787582	0.834712	0.881170						
longkui	0.425236	0.437416	0.596724						
