class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.980267	0.997369	0.990035	0.951701	0.360928	0.449784	0.449424	200	1
cotton	0.789306	0.912071	0.882248						
abuth	0.356064	0.663779	0.525144						
canger	0.176057	0.178558	0.299402						
machixian	0.421525	0.675234	0.593061						
longkui	0.097911	0.103529	0.178359						
tianxuanhua	0.015052	0.015190	0.029657						
niujincao	0.051240	0.052542	0.097484						
background	0.983416	0.997422	0.991639	0.964947	0.511179	0.594260	0.630814	400	2
cotton	0.882331	0.933234	0.937487						
abuth	0.586765	0.829367	0.739574						
canger	0.276685	0.327711	0.433443						
machixian	0.553022	0.600262	0.712188						
longkui	0.374913	0.603412	0.545363						
tianxuanhua	0.112396	0.120710	0.202079						
niujincao	0.319907	0.341960	0.484742						
background	0.984349	0.996758	0.992113	0.967586	0.541869	0.640527	0.647294	600	3
cotton	0.904304	0.917290	0.949748						
abuth	0.626472	0.810588	0.770345						
canger	0.468520	0.896040	0.638085						
machixian	0.651914	0.746263	0.789283						
longkui	0.174899	0.175526	0.297727						
tianxuanhua	0.052487	0.054422	0.099739						
niujincao	0.472010	0.527331	0.641313						
background	0.987765	0.996561	0.993845	0.970347	0.570157	0.668067	0.677778	800	4
cotton	0.931728	0.950513	0.964658						
abuth	0.637798	0.909121	0.778848						
canger	0.396450	0.573723	0.567797						
machixian	0.670416	0.729915	0.802694						
longkui	0.324629	0.451510	0.490144						
tianxuanhua	0.059264	0.060464	0.111896						
niujincao	0.553205	0.672732	0.712340						
background	0.985168	0.990767	0.992529	0.973664	0.656016	0.765364	0.770513	1000	5
cotton	0.892778	0.975993	0.943352						
abuth	0.762277	0.837983	0.865104						
canger	0.530759	0.772863	0.693459						
machixian	0.708310	0.836343	0.829252						
longkui	0.505782	0.703072	0.671786						
tianxuanhua	0.267522	0.296065	0.422119						
niujincao	0.595536	0.709829	0.746503						
background	0.986860	0.994029	0.993387	0.974284	0.629122	0.741260	0.750586	1200	6
cotton	0.924856	0.953530	0.960961						
abuth	0.748563	0.894551	0.856204						
canger	0.454179	0.609434	0.624654						
machixian	0.629169	0.968817	0.772380						
longkui	0.496396	0.627799	0.663456						
tianxuanhua	0.359548	0.405465	0.528923						
niujincao	0.433405	0.476452	0.604721						
background	0.988125	0.995383	0.994027	0.976998	0.671716	0.765908	0.783406	1400	6
cotton	0.936973	0.960127	0.967461						
abuth	0.714041	0.935143	0.833167						
