Iter	epoch	cotton_to_abuth	abuth_to_cotton
200	1	0.021490	0.185569
400	2	0.014713	0.022584
600	3	0.013305	0.001206
800	4	0.007078	0.004814
1000	5	0.005188	0.025266
1200	6	0.006970	0.004434
1400	6	0.008730	0.001809
1600	7	0.001331	0.000010
1800	8	0.007517	0.000729
2000	9	0.002514	0.000000
2200	10	0.008446	0.000789
2400	11	0.000000	0.015115
2600	11	0.001636	0.000201
2800	12	0.000000	0.060000
3000	13	0.000000	0.002528
3200	14	0.000242	0.000156
3400	15	0.000024	0.000044
3600	16	0.000000	0.000106
3800	16	0.000001	0.007330
4000	17	0.000000	0.003807
4200	18	0.000000	0.035635
4400	19	0.000000	0.074689
4600	20	0.000493	0.039317
4800	21	0.000126	0.009413
5000	22	0.000000	0.117957
5200	22	0.000000	0.010510
5400	23	0.000000	0.044090
5600	24	0.000000	0.022522
5800	25	0.000000	0.028305
6000	26	0.006394	0.000086
6200	27	0.000000	0.007749
6400	27	0.000000	0.003074
6600	28	0.000000	0.000461
6800	29	0.000000	0.018969
7000	30	0.000000	0.015490
7200	31	0.000093	0.005689
7400	32	0.000000	0.042090
7600	32	0.000347	0.008722
7800	33	0.000012	0.024309
8000	34	0.000000	0.037348
8200	35	0.000000	0.038325
8400	36	0.000007	0.010350
8600	37	0.000000	0.023706
8800	37	0.000433	0.000170
9000	38	0.001571	0.000005
9200	39	0.000001	0.025164
9400	40	0.000018	0.003810
9600	41	0.000000	0.002781
9800	42	0.000000	0.002006
10000	43	0.000005	0.000092
10200	43	0.000000	0.016393
10400	44	0.000110	0.002685
10600	45	0.000004	0.011441
10800	46	0.000007	0.026881
11000	47	0.000004	0.023680
11200	48	0.000000	0.020617
11400	48	0.000003	0.005140
11600	49	0.000004	0.014901
11800	50	0.000002	0.009753
12000	51	0.000001	0.011906
