Iter	epoch	cotton_to_abuth	abuth_to_cotton
200	1	0.024460	0.416854
400	2	0.020675	0.105702
600	3	0.043248	0.039946
800	4	0.001115	0.089405
1000	5	0.002242	0.089334
1200	6	0.016193	0.037412
1400	6	0.000783	0.057231
1600	7	0.005077	0.003382
1800	8	0.000408	0.023794
2000	9	0.000000	0.043172
2200	10	0.000390	0.020228
2400	11	0.000663	0.013274
2600	11	0.000000	0.016547
2800	12	0.000323	0.038341
3000	13	0.000511	0.040864
3200	14	0.000000	0.091874
3400	15	0.000000	0.134841
3600	16	0.000091	0.033512
3800	16	0.000000	0.052377
4000	17	0.000000	0.012067
4200	18	0.000000	0.118545
4400	19	0.000008	0.027163
4600	20	0.000000	0.131423
4800	21	0.000000	0.003919
5000	22	0.000000	0.056181
5200	22	0.000000	0.079311
5400	23	0.000000	0.039440
5600	24	0.000000	0.095810
5800	25	0.000000	0.003437
6000	26	0.000000	0.018346
6200	27	0.000115	0.024591
6400	27	0.000100	0.049016
6600	28	0.000436	0.019872
6800	29	0.000000	0.030559
7000	30	0.000023	0.064226
7200	31	0.000000	0.089849
7400	32	0.000045	0.046315
7600	32	0.000103	0.016209
7800	33	0.000199	0.048717
8000	34	0.000023	0.010639
8200	35	0.000012	0.001415
8400	36	0.000002	0.028626
8600	37	0.000013	0.042385
8800	37	0.000000	0.057300
9000	38	0.000000	0.020270
9200	39	0.000000	0.002106
9400	40	0.000000	0.044729
9600	41	0.000000	0.009251
9800	42	0.000000	0.012082
10000	43	0.000000	0.002571
10200	43	0.000000	0.010007
