class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.972356	0.988461	0.985984	0.937347	0.291432	0.363133	0.371301	200	1
cotton	0.621398	0.933035	0.766496						
abuth	0.295640	0.395724	0.456362						
canger	0.227624	0.341798	0.370837						
machixian	0.086236	0.092087	0.158779						
longkui	0.116490	0.142089	0.208671						
tianxuanhua	0.004636	0.004710	0.009230						
niujincao	0.007072	0.007163	0.014045						
background	0.979852	0.997301	0.989823	0.950841	0.365203	0.453539	0.458864	400	2
cotton	0.783265	0.892806	0.878462						
abuth	0.385074	0.745897	0.556034						
canger	0.189639	0.203992	0.318817						
machixian	0.354039	0.529024	0.522937						
longkui	0.017428	0.017647	0.034258						
tianxuanhua	0.039159	0.040844	0.075367						
niujincao	0.173168	0.200803	0.295215						
background	0.985439	0.995836	0.992666	0.965385	0.522757	0.620259	0.640690	600	3
cotton	0.843974	0.898300	0.915386						
abuth	0.606768	0.756741	0.755265						
canger	0.459371	0.855968	0.629546						
machixian	0.644015	0.698468	0.783466						
longkui	0.281729	0.292953	0.439607						
tianxuanhua	0.206610	0.297701	0.342463						
niujincao	0.154150	0.166104	0.267123						
background	0.986431	0.995625	0.993169	0.969568	0.582609	0.695556	0.702295	800	4
cotton	0.878364	0.941334	0.935244						
abuth	0.671788	0.799032	0.803676						
canger	0.380593	0.522560	0.551347						
machixian	0.692901	0.890751	0.818596						
longkui	0.397108	0.567743	0.568472						
tianxuanhua	0.179830	0.190598	0.304840						
niujincao	0.473858	0.656805	0.643017						
background	0.987162	0.996172	0.993540	0.968020	0.548571	0.649307	0.673333	1000	5
cotton	0.858313	0.960977	0.923755						
abuth	0.595612	0.843325	0.746562						
canger	0.430600	0.540340	0.601985						
machixian	0.623767	0.785617	0.768296						
longkui	0.214693	0.234240	0.353493						
tianxuanhua	0.247315	0.264674	0.396556						
niujincao	0.431107	0.569115	0.602481						
background	0.983332	0.988726	0.991596	0.967331	0.591452	0.700702	0.705265	1200	6
cotton	0.822388	0.968525	0.902539						
abuth	0.680982	0.900533	0.810219						
canger	0.530233	0.810942	0.693009						
machixian	0.763646	0.895562	0.865986						
longkui	0.178097	0.180612	0.302348						
tianxuanhua	0.227267	0.262142	0.370362						
niujincao	0.545669	0.598574	0.706062						
background	0.987670	0.993699	0.993797	0.975366	0.661180	0.762820	0.778010	1400	6
cotton	0.905350	0.985622	0.950324						
abuth	0.734385	0.823117	0.846853						
canger	0.502942	0.703064	0.669276						
machixian	0.734417	0.845259	0.846875						
longkui	0.478561	0.603693	0.647334						
tianxuanhua	0.364103	0.403791	0.533835						
niujincao	0.582011	0.744313	0.735786						
background	0.987959	0.996406	0.993943	0.975466	0.643830	0.729342	0.760024	1600	7
cotton	0.925350	0.957904	0.961228						
abuth	0.701937	0.936732	0.824868						
canger	0.490632	0.675170	0.658288						
machixian	0.710825	0.767240	0.830973						
longkui	0.491602	0.531232	0.659159						
tianxuanhua	0.266634	0.301411	0.421011						
niujincao	0.575703	0.668641	0.730725						
background	0.988762	0.995561	0.994349	0.977857	0.673637	0.757005	0.780845	1800	8
cotton	0.925290	0.971941	0.961196						
abuth	0.780799	0.886131	0.876909						
canger	0.557700	0.851257	0.716056						
machixian	0.752972	0.839797	0.859080						
longkui	0.514033	0.568236	0.679025						
tianxuanhua	0.240711	0.258862	0.388022						
niujincao	0.628831	0.684253	0.772126						
background	0.988321	0.996102	0.994126	0.976113	0.666659	0.755230	0.781813	2000	9
cotton	0.920489	0.974460	0.958599						
abuth	0.723482	0.903614	0.839559						
canger	0.443671	0.543762	0.614643						
machixian	0.768462	0.822942	0.869074						
longkui	0.483179	0.487634	0.651545						
tianxuanhua	0.404668	0.659252	0.576176						
niujincao	0.600999	0.654076	0.750780						
background	0.988974	0.995844	0.994456	0.979181	0.698897	0.782080	0.802681	2200	10
cotton	0.919540	0.966020	0.958083						
abuth	0.805400	0.932832	0.892212						
canger	0.563445	0.760684	0.720774						
machixian	0.769720	0.854924	0.869878						
longkui	0.571289	0.664548	0.727160						
tianxuanhua	0.285531	0.301098	0.444223						
niujincao	0.687277	0.780690	0.814658						
background	0.989790	0.995627	0.994869	0.979109	0.688913	0.779680	0.794802	2400	11
cotton	0.943160	0.974920	0.970749						
abuth	0.814897	0.944335	0.898009						
canger	0.410227	0.492202	0.581788						
machixian	0.780532	0.860503	0.876740						
longkui	0.603009	0.915016	0.752346						
tianxuanhua	0.350602	0.394989	0.519179						
niujincao	0.619084	0.659847	0.764734						
background	0.988626	0.996493	0.994281	0.980848	0.725334	0.803769	0.828429	2600	11
cotton	0.941390	0.970595	0.969810						
abuth	0.807359	0.915138	0.893413						
canger	0.538163	0.618453	0.699748						
machixian	0.729378	0.762175	0.843515						
longkui	0.675992	0.905318	0.806677						
tianxuanhua	0.432853	0.499352	0.604184						
niujincao	0.688910	0.762629	0.815805						
background	0.988630	0.995517	0.994282	0.980410	0.715260	0.798184	0.813350	2800	12
cotton	0.933167	0.979732	0.965428						
abuth	0.741004	0.869312	0.851238						
canger	0.614138	0.822965	0.760949						
machixian	0.790518	0.869238	0.883005						
longkui	0.729519	0.760346	0.843609						
tianxuanhua	0.253996	0.259117	0.405099						
niujincao	0.671104	0.829243	0.803187						
background	0.989311	0.996310	0.994627	0.982238	0.741023	0.812027	0.840115	3000	13
cotton	0.935278	0.977708	0.966557						
abuth	0.757030	0.899706	0.861715						
canger	0.691827	0.833388	0.817846						
machixian	0.751649	0.805140	0.858219						
longkui	0.734710	0.754736	0.847069						
tianxuanhua	0.407599	0.447302	0.579140						
niujincao	0.660782	0.781926	0.795748						
background	0.989304	0.996603	0.994623	0.978504	0.704147	0.790206	0.814286	3200	14
cotton	0.869514	0.967460	0.930203						
abuth	0.771615	0.848355	0.871087						
canger	0.652232	0.806018	0.789517						
machixian	0.773520	0.821623	0.872299						
longkui	0.497297	0.517563	0.664260						
tianxuanhua	0.444302	0.480712	0.615248						
niujincao	0.635393	0.883316	0.777052						
background	0.989448	0.995741	0.994696	0.976127	0.671677	0.754345	0.783027	3400	15
cotton	0.852686	0.975522	0.920486						
abuth	0.707370	0.806824	0.828608						
canger	0.653022	0.872102	0.790095						
machixian	0.784477	0.877789	0.879223						
longkui	0.390461	0.395158	0.561628						
tianxuanhua	0.315431	0.325010	0.479585						
niujincao	0.680519	0.786615	0.809892						
