class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.945505	0.998690	0.971989	0.926431	0.501722	0.567578	0.570980	100	1
abuth	0.538990	0.683341	0.700446						
cotton	0.020670	0.020702	0.040503						
background	0.953405	0.998921	0.976147	0.936727	0.539839	0.605128	0.603352	200	2
abuth	0.637804	0.788077	0.778852						
cotton	0.028308	0.028384	0.055058						
background	0.917099	0.923985	0.956757	0.901156	0.583558	0.747713	0.709401	300	3
abuth	0.477912	0.931141	0.646739						
cotton	0.355664	0.388013	0.524709						
background	0.979584	0.996194	0.989687	0.968862	0.776187	0.835215	0.864113	400	4
abuth	0.774544	0.871349	0.872950						
cotton	0.574433	0.638104	0.729702						
background	0.979550	0.989506	0.989670	0.958488	0.703132	0.792731	0.805777	500	4
abuth	0.689509	0.885374	0.816224						
cotton	0.440337	0.503314	0.611436						
background	0.976561	0.982253	0.988141	0.953250	0.666302	0.769774	0.769638	600	5
abuth	0.677035	0.960783	0.807419						
cotton	0.345309	0.366284	0.513353						
background	0.660466	0.662952	0.795519	0.691283	0.496663	0.759092	0.639844	700	6
abuth	0.230745	0.980814	0.374968						
cotton	0.598779	0.633511	0.749045						
background	0.971294	0.989382	0.985438	0.950145	0.642682	0.728018	0.746629	800	7
abuth	0.656553	0.890801	0.792674						
cotton	0.300200	0.303869	0.461775						
background	0.951207	0.957895	0.974993	0.927560	0.584394	0.722160	0.692069	900	8
abuth	0.572913	0.971391	0.728474						
cotton	0.229061	0.237193	0.372741						
background	0.982597	0.986989	0.991222	0.970848	0.792763	0.868866	0.876561	1000	8
abuth	0.780630	0.974698	0.876802						
cotton	0.615063	0.644913	0.761658						
background	0.965560	0.969619	0.982478	0.951038	0.710753	0.824046	0.816138	1100	9
abuth	0.671042	0.981041	0.803142						
cotton	0.495655	0.521480	0.662794						
background	0.981296	0.990923	0.990560	0.954892	0.631379	0.725589	0.722423	1200	10
abuth	0.696676	0.967886	0.821224						
cotton	0.216164	0.217958	0.355485						
background	0.984940	0.991099	0.992413	0.967982	0.748029	0.825292	0.840238	1300	11
abuth	0.764992	0.964524	0.866850						
cotton	0.494156	0.520253	0.661452						
background	0.985964	0.992756	0.992933	0.970560	0.763495	0.834639	0.851953	1400	11
abuth	0.786752	0.964362	0.880650						
cotton	0.517770	0.546799	0.682277						
background	0.961779	0.971297	0.980517	0.931900	0.545861	0.674285	0.627183	1500	12
abuth	0.589065	0.964482	0.741398						
cotton	0.086740	0.087076	0.159633						
background	0.979640	0.992886	0.989716	0.965479	0.746774	0.818186	0.840588	1600	13
abuth	0.755204	0.903077	0.860532						
cotton	0.505477	0.558596	0.671517						
background	0.969587	0.975738	0.984559	0.958990	0.753108	0.852958	0.849310	1700	14
abuth	0.718047	0.963569	0.835888						
cotton	0.571689	0.619567	0.727483						
background	0.977955	0.984761	0.988855	0.967043	0.778964	0.863187	0.866942	1800	15
abuth	0.765897	0.949698	0.867431						
cotton	0.593041	0.655103	0.744540						
background	0.983302	0.989761	0.991581	0.976502	0.839192	0.902933	0.908485	1900	15
abuth	0.826753	0.952481	0.905161						
cotton	0.707521	0.766556	0.828712						
background	0.861955	0.869970	0.925860	0.849401	0.500041	0.691305	0.629725	2000	16
abuth	0.368610	0.929285	0.538663						
cotton	0.269559	0.274660	0.424650						
background	0.983529	0.994633	0.991696	0.970801	0.761711	0.822004	0.848886	2100	17
abuth	0.807292	0.971759	0.893372						
cotton	0.494311	0.499620	0.661590						
background	0.982007	0.996449	0.990922	0.979795	0.870039	0.904816	0.928229	2200	18
abuth	0.856857	0.903178	0.922911						
cotton	0.771252	0.814823	0.870855						
