Iter	epoch	cotton_to_abuth	abuth_to_cotton
100	1	0.544138	0.000457
200	2	0.479690	0.001232
300	3	0.541169	0.032637
400	4	0.221626	0.037621
500	4	0.428450	0.052612
600	5	0.565462	0.017339
700	6	0.303619	0.013900
800	7	0.558336	0.001565
900	8	0.684924	0.000128
1000	8	0.305687	0.007147
1100	9	0.431038	0.002370
1200	10	0.657150	0.000014
1300	11	0.432062	0.000000
1400	11	0.385325	0.003780
1500	12	0.793607	0.000009
1600	13	0.321990	0.027891
1700	14	0.301606	0.014768
1800	15	0.304015	0.005082
1900	15	0.173555	0.014865
2000	16	0.692629	0.000000
2100	17	0.337490	0.000321
2200	18	0.080122	0.010056
2300	18	0.712406	0.000046
2400	19	0.240251	0.001278
2500	20	0.478326	0.000287
2600	21	0.346555	0.000979
2700	22	0.451611	0.002532
2800	22	0.243430	0.003233
2900	23	0.532571	0.000340
3000	24	0.848293	0.000000
3100	25	0.339662	0.000503
3200	25	0.268806	0.000013
3300	26	0.134591	0.000000
3400	27	0.250410	0.004558
3500	28	0.160029	0.014290
3600	29	0.771618	0.001291
3700	29	0.337789	0.004532
3800	30	0.144591	0.003833
3900	31	0.154880	0.000302
4000	32	0.089053	0.001042
4100	33	0.078712	0.004031
4200	33	0.137492	0.000356
4300	34	0.372202	0.000045
4400	35	0.167053	0.001419
4500	36	0.084420	0.000730
4600	36	0.014762	0.002125
4700	37	0.311823	0.000163
4800	38	0.108917	0.000780
4900	39	0.231869	0.000000
5000	40	0.191258	0.001568
5100	40	0.177385	0.001527
5200	41	0.127151	0.001829
5300	42	0.115799	0.038190
5400	43	0.105509	0.009205
5500	43	0.010598	0.128571
5600	44	0.100618	0.000993
5700	45	0.114823	0.002596
5800	46	0.053420	0.001094
5900	47	0.006991	0.445146
6000	47	0.066685	0.028425
