class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.924795	0.998145	0.960929	0.913618	0.466307	0.520604	0.536758	32	1
abuth	0.468413	0.557938	0.637985						
cotton	0.005712	0.005728	0.011359						
background	0.960090	0.997948	0.979639	0.942386	0.586464	0.651766	0.678014	64	2
abuth	0.641220	0.794597	0.781394						
cotton	0.158084	0.162754	0.273009						
background	0.964885	0.997699	0.982129	0.941111	0.549276	0.627286	0.616059	96	3
abuth	0.637050	0.838134	0.778290						
cotton	0.045893	0.046024	0.087758						
background	0.974255	0.989534	0.986960	0.955065	0.667608	0.751310	0.768382	128	4
abuth	0.699921	0.925913	0.823475						
cotton	0.328648	0.338483	0.494711						
background	0.978217	0.995796	0.988989	0.963651	0.721044	0.784725	0.816606	160	5
abuth	0.757667	0.906903	0.862128						
cotton	0.427247	0.451475	0.598701						
background	0.982800	0.995116	0.991325	0.978320	0.855923	0.908545	0.919375	192	6
abuth	0.841359	0.885463	0.913845						
cotton	0.743610	0.845056	0.852955						
background	0.981687	0.996639	0.990759	0.976496	0.835369	0.877988	0.905553	224	7
abuth	0.838135	0.904672	0.911941						
cotton	0.686284	0.732652	0.813960						
background	0.980879	0.993937	0.990347	0.965728	0.722274	0.790280	0.814862	256	8
abuth	0.779037	0.965046	0.875796						
cotton	0.406907	0.411857	0.578441						
background	0.982815	0.996774	0.991333	0.979127	0.853826	0.888648	0.917398	288	9
abuth	0.861754	0.927341	0.925744						
cotton	0.716909	0.741829	0.835116						
background	0.984715	0.995026	0.992299	0.982151	0.883337	0.929076	0.936164	320	10
abuth	0.875132	0.909880	0.933408						
cotton	0.790165	0.882322	0.882784						
background	0.966208	0.976773	0.982813	0.964870	0.811232	0.887558	0.891581	352	11
abuth	0.768460	0.973334	0.869073						
cotton	0.699028	0.712568	0.822856						
background	0.985864	0.990870	0.992881	0.982541	0.883196	0.932652	0.936002	384	12
abuth	0.876629	0.977240	0.934259						
cotton	0.787096	0.829845	0.880866						
background	0.985967	0.993795	0.992934	0.985582	0.909270	0.943269	0.951344	416	13
abuth	0.909641	0.962008	0.952682						
cotton	0.832201	0.874004	0.908417						
background	0.987746	0.994203	0.993835	0.986134	0.907944	0.945119	0.950527	448	14
abuth	0.907940	0.961509	0.951749						
cotton	0.828146	0.879647	0.905996						
background	0.985204	0.992437	0.992547	0.982674	0.884340	0.925991	0.936619	480	15
abuth	0.882854	0.971684	0.937783						
cotton	0.784961	0.813853	0.879528						
background	0.985757	0.991500	0.992827	0.983468	0.892352	0.935615	0.941539	512	16
abuth	0.884315	0.977655	0.938606						
cotton	0.806986	0.837689	0.893184						
background	0.985254	0.991959	0.992572	0.981242	0.872668	0.919097	0.929619	544	17
abuth	0.864180	0.968970	0.927142						
cotton	0.768568	0.796361	0.869142						
background	0.986865	0.994258	0.993389	0.985425	0.902279	0.935124	0.947147	576	18
abuth	0.907349	0.972849	0.951424						
cotton	0.812623	0.838266	0.896627						
background	0.986854	0.995693	0.993383	0.986534	0.915609	0.943481	0.955028	608	19
abuth	0.912190	0.949243	0.954079						
cotton	0.847782	0.885506	0.917621						
background	0.986023	0.994150	0.992962	0.984681	0.895825	0.928579	0.943173	640	20
abuth	0.908799	0.977012	0.952221						
cotton	0.792654	0.814575	0.884336						
background	0.985996	0.994997	0.992949	0.984814	0.901086	0.932278	0.946583	672	21
abuth	0.900228	0.955796	0.947495						
cotton	0.817033	0.846041	0.899305						
background	0.985695	0.995180	0.992796	0.987017	0.926233	0.950990	0.961112	704	22
abuth	0.919616	0.947521	0.958125						
cotton	0.873387	0.910268	0.932415						
background	0.986130	0.992095	0.993017	0.986970	0.925890	0.959608	0.960939	736	23
abuth	0.915924	0.974834	0.956117						
cotton	0.875617	0.911896	0.933684						
background	0.988165	0.994355	0.994047	0.989003	0.935880	0.964846	0.966404	768	24
abuth	0.932803	0.964530	0.965233						
cotton	0.886673	0.935654	0.939933						
background	0.986677	0.994933	0.993294	0.987024	0.917659	0.944468	0.955996	800	25
abuth	0.927974	0.969150	0.962642						
cotton	0.838325	0.869320	0.912053						
background	0.987084	0.995223	0.993500	0.987839	0.924553	0.948329	0.959941	832	26
abuth	0.933454	0.970576	0.965582						
cotton	0.853122	0.879189	0.920740						
background	0.988515	0.994059	0.994224	0.989060	0.933747	0.962241	0.965170	864	27
abuth	0.935166	0.977563	0.966497						
cotton	0.877559	0.915100	0.934787						
background	0.988516	0.995071	0.994225	0.989411	0.937467	0.962065	0.967246	896	28
abuth	0.937492	0.968343	0.967738						
cotton	0.886394	0.922780	0.939776						
background	0.989008	0.994973	0.994474	0.989439	0.935635	0.962111	0.966217	928	29
abuth	0.936228	0.970417	0.967064						
cotton	0.881668	0.920942	0.937113						
background	0.988437	0.994352	0.994185	0.989310	0.937241	0.964093	0.967133	960	30
abuth	0.936164	0.972823	0.967030						
cotton	0.887122	0.925105	0.940185						
background	0.987260	0.992699	0.993589	0.988301	0.933760	0.964902	0.965279	992	31
abuth	0.926861	0.977647	0.962042						
cotton	0.887161	0.924360	0.940207						
background	0.989012	0.995268	0.994476	0.989863	0.939735	0.964118	0.968475	1024	32
abuth	0.940986	0.968749	0.969596						
cotton	0.889207	0.928337	0.941355						
background	0.988651	0.994619	0.994293	0.989607	0.937622	0.962284	0.967277	1056	33
abuth	0.942557	0.979219	0.970429						
cotton	0.881658	0.913015	0.937108						
background	0.987779	0.993619	0.993852	0.988695	0.934379	0.963177	0.965581	1088	34
abuth	0.931202	0.974949	0.964375						
cotton	0.884155	0.920963	0.938516						
background	0.988562	0.995045	0.994248	0.989635	0.939824	0.964551	0.968550	1120	35
abuth	0.939174	0.966687	0.968633						
cotton	0.891736	0.931922	0.942770						
background	0.988560	0.995810	0.994247	0.989753	0.940413	0.962387	0.968859	1152	36
abuth	0.941419	0.962136	0.969826						
cotton	0.891262	0.929215	0.942505						
background	0.988565	0.996095	0.994250	0.989855	0.940745	0.960672	0.969020	1184	37
abuth	0.943885	0.964060	0.971133						
cotton	0.889785	0.921860	0.941679						
background	0.988942	0.995264	0.994440	0.990017	0.940951	0.963870	0.969123	1216	38
abuth	0.944457	0.972588	0.971435						
cotton	0.889455	0.923758	0.941494						
background	0.989176	0.994746	0.994558	0.990179	0.942571	0.968551	0.970032	1248	39
abuth	0.943568	0.972010	0.970965						
cotton	0.894968	0.938897	0.944573						
background	0.988494	0.995630	0.994214	0.989256	0.935270	0.959243	0.966007	1280	40
abuth	0.937478	0.963438	0.967730						
cotton	0.879836	0.918661	0.936078						
background	0.988902	0.994914	0.994420	0.989837	0.940096	0.964805	0.968681	1312	41
abuth	0.940905	0.972281	0.969553						
cotton	0.890483	0.927219	0.942069						
background	0.989186	0.994636	0.994564	0.990263	0.943817	0.969336	0.970728	1344	42
abuth	0.943148	0.973443	0.970742						
cotton	0.899117	0.939930	0.946879						
background	0.988889	0.995849	0.994414	0.990083	0.942046	0.962409	0.969739	1376	43
abuth	0.944196	0.968117	0.971297						
cotton	0.893053	0.923262	0.943505						
background	0.989071	0.995966	0.994506	0.990092	0.940873	0.961056	0.969074	1408	44
abuth	0.944702	0.969967	0.971565						
cotton	0.888847	0.917235	0.941153						
background	0.989275	0.995796	0.994609	0.990488	0.944552	0.964856	0.971099	1440	45
abuth	0.947139	0.970690	0.972852						
cotton	0.897241	0.928084	0.945838						
background	0.989386	0.995468	0.994665	0.990567	0.944905	0.966298	0.971288	1472	46
abuth	0.947793	0.973891	0.973197						
cotton	0.897535	0.929534	0.946001						
background	0.989331	0.995246	0.994637	0.990500	0.944531	0.966608	0.971086	1504	47
abuth	0.947264	0.975399	0.972918						
cotton	0.896996	0.929179	0.945702						
background	0.989395	0.995148	0.994669	0.990491	0.944509	0.967367	0.971083	1536	48
abuth	0.946158	0.974823	0.972334						
cotton	0.897976	0.932129	0.946246						
background	0.989325	0.995468	0.994634	0.990325	0.942676	0.964633	0.970071	1568	49
abuth	0.945448	0.973437	0.971959						
cotton	0.893256	0.924996	0.943619						
background	0.989551	0.995699	0.994748	0.990667	0.945542	0.966917	0.971643	1600	50
abuth	0.947352	0.970435	0.972964						
cotton	0.899724	0.934617	0.947216						
