Iter	epoch	cotton_to_abuth	abuth_to_cotton
32	1	0.370083	0.001195
64	2	0.472556	0.011799
96	3	0.627356	0.000581
128	4	0.495094	0.007146
160	5	0.350069	0.020040
192	6	0.060435	0.042941
224	7	0.128265	0.019707
256	8	0.397833	0.001198
288	9	0.120726	0.005794
320	10	0.029172	0.034789
352	11	0.125286	0.001683
384	12	0.114609	0.001861
416	13	0.034220	0.007641
448	14	0.050721	0.010709
480	15	0.092760	0.004259
512	16	0.091528	0.001684
544	17	0.131402	0.001994
576	18	0.068647	0.001565
608	19	0.042174	0.001830
640	20	0.071528	0.000245
672	21	0.064609	0.001703
704	22	0.005637	0.002924
736	23	0.021646	0.000419
768	24	0.009152	0.003420
800	25	0.021980	0.004500
832	26	0.019442	0.000756
864	27	0.021404	0.000373
896	28	0.012624	0.000634
928	29	0.022668	0.000256
960	30	0.013440	0.000672
992	31	0.012537	0.001014
1024	32	0.008419	0.002423
1056	33	0.010575	0.000825
1088	34	0.014401	0.000702
1120	35	0.006366	0.001612
1152	36	0.001400	0.002581
1184	37	0.003077	0.000719
1216	38	0.007502	0.000545
1248	39	0.003664	0.002858
1280	40	0.006312	0.005009
1312	41	0.007062	0.002334
1344	42	0.002088	0.002816
1376	43	0.004500	0.000690
1408	44	0.009010	0.000174
1440	45	0.003775	0.000325
1472	46	0.003952	0.000475
1504	47	0.004451	0.000458
1536	48	0.006047	0.000413
1568	49	0.008455	0.000370
1600	50	0.004966	0.000446
