class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.934732	0.997095	0.966265	0.916454	0.477291	0.539055	0.555436	32	1
abuth	0.461858	0.583664	0.631878						
cotton	0.035285	0.036407	0.068165						
background	0.976655	0.992381	0.988190	0.942353	0.538901	0.641260	0.596449	64	2
abuth	0.623069	0.914350	0.767766						
cotton	0.016979	0.017051	0.033391						
background	0.976538	0.994963	0.988130	0.948478	0.578448	0.668598	0.650747	96	3
abuth	0.671451	0.922753	0.803435						
cotton	0.087356	0.088078	0.160677						
background	0.977009	0.992238	0.988371	0.947614	0.587920	0.682497	0.673311	128	4
abuth	0.646177	0.913414	0.785064						
cotton	0.140575	0.141839	0.246498						
background	0.982367	0.993763	0.991105	0.956141	0.634786	0.723070	0.725327	160	5
abuth	0.703035	0.952769	0.825626						
cotton	0.218955	0.222679	0.359251						
background	0.979800	0.992371	0.989797	0.969120	0.770462	0.832941	0.858211	192	6
abuth	0.792192	0.946089	0.884048						
cotton	0.539394	0.560361	0.700787						
background	0.984592	0.995368	0.992236	0.977319	0.839816	0.903113	0.908610	224	7
abuth	0.834172	0.875488	0.909590						
cotton	0.700685	0.838483	0.824004						
background	0.972910	0.982070	0.986269	0.957904	0.718735	0.808943	0.820046	256	8
abuth	0.705880	0.953743	0.827584						
cotton	0.477414	0.491016	0.646284						
background	0.983274	0.993096	0.991566	0.976360	0.826426	0.878364	0.898947	288	9
abuth	0.840311	0.959724	0.913227						
cotton	0.655694	0.682271	0.792048						
background	0.984838	0.993114	0.992361	0.983601	0.898354	0.943082	0.945179	320	10
abuth	0.886538	0.933679	0.939857						
cotton	0.823686	0.902451	0.903320						
background	0.983688	0.990841	0.991777	0.980810	0.873307	0.920822	0.929957	352	11
abuth	0.870485	0.974177	0.930758						
cotton	0.765749	0.797447	0.867336						
