Iter	epoch	cotton_to_abuth	abuth_to_cotton
32	1	0.244952	0.000017
64	2	0.159127	0.001126
96	3	0.575877	0.001470
128	4	0.299842	0.008058
160	5	0.228071	0.014920
192	6	0.387224	0.009720
224	7	0.069568	0.013441
256	8	0.008948	0.038393
288	9	0.029725	0.036862
320	10	0.057964	0.017186
352	11	0.178407	0.004777
384	12	0.003408	0.076877
416	13	0.013759	0.020278
448	14	0.005096	0.017539
480	15	0.010531	0.013111
512	16	0.007691	0.012064
544	17	0.010690	0.006916
576	18	0.013311	0.007793
608	19	0.023502	0.011870
640	20	0.041538	0.002033
672	21	0.040472	0.001730
704	22	0.052564	0.001224
736	23	0.020884	0.007418
768	24	0.203089	0.000348
800	25	0.055905	0.005721
832	26	0.145875	0.000044
864	27	0.024684	0.000611
896	28	0.127113	0.000000
928	29	0.054435	0.000031
960	30	0.031552	0.000236
992	31	0.041293	0.000053
1024	32	0.017703	0.002351
1056	33	0.028011	0.001112
1088	34	0.013465	0.002689
1120	35	0.046604	0.000426
1152	36	0.016602	0.001367
1184	37	0.014555	0.000800
1216	38	0.012897	0.001554
1248	39	0.012049	0.000828
1280	40	0.007472	0.000614
1312	41	0.009377	0.000159
1344	42	0.007975	0.000192
1376	43	0.009689	0.000347
1408	44	0.014399	0.000412
1440	45	0.019074	0.000212
1472	46	0.015924	0.000492
1504	47	0.012664	0.000523
1536	48	0.011161	0.000542
1568	49	0.010011	0.000780
1600	50	0.008174	0.001053
