class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.892165	0.999512	0.943010	0.885005	0.369122	0.413491	0.432411	32	1
abuth	0.215136	0.240896	0.354094						
cotton	0.000065	0.000065	0.000130						
background	0.902784	0.999496	0.948909	0.900037	0.425736	0.467813	0.498828	64	2
abuth	0.371500	0.401009	0.541743						
cotton	0.002925	0.002933	0.005834						
background	0.964093	0.995700	0.981718	0.942616	0.557972	0.637544	0.621154	96	3
abuth	0.667556	0.874466	0.800640						
cotton	0.042266	0.042466	0.081103						
background	0.959089	0.996559	0.979117	0.949420	0.662289	0.715863	0.768772	128	4
abuth	0.675872	0.789393	0.806591						
cotton	0.351906	0.361638	0.520607						
background	0.972548	0.996345	0.986083	0.964341	0.750268	0.800517	0.843582	160	5
abuth	0.767308	0.869698	0.868335						
cotton	0.510949	0.535509	0.676328						
background	0.970436	0.989649	0.984996	0.956101	0.696162	0.771032	0.799101	192	6
abuth	0.702735	0.892440	0.825419						
cotton	0.415316	0.431009	0.586888						
background	0.979742	0.995469	0.989768	0.977935	0.854896	0.891219	0.918220	224	7
abuth	0.863954	0.917997	0.927012						
cotton	0.720993	0.760190	0.837880						
background	0.980325	0.995949	0.990065	0.978781	0.865525	0.908276	0.925252	256	8
abuth	0.863440	0.881698	0.926716						
cotton	0.752810	0.847183	0.858975						
background	0.971350	0.978008	0.985467	0.970368	0.838244	0.936553	0.908773	288	9
abuth	0.816056	0.933673	0.898712						
cotton	0.727325	0.897979	0.842140						
background	0.981964	0.989987	0.990900	0.980165	0.879210	0.931945	0.933933	320	10
abuth	0.860885	0.945645	0.925243						
cotton	0.794780	0.860204	0.885657						
background	0.979955	0.989680	0.989876	0.974264	0.826031	0.883564	0.899603	352	11
abuth	0.823385	0.960081	0.903139						
cotton	0.674753	0.700930	0.805794						
background	0.980438	0.993701	0.990122	0.975576	0.846805	0.916484	0.914107	384	12
abuth	0.808947	0.832218	0.894385						
cotton	0.751031	0.923534	0.857816						
background	0.980840	0.996641	0.990327	0.980706	0.875455	0.905345	0.930851	416	13
abuth	0.893437	0.917035	0.943720						
cotton	0.752089	0.802360	0.858505						
background	0.985543	0.993470	0.992719	0.985566	0.911397	0.950405	0.952579	448	14
abuth	0.912381	0.948061	0.954183						
cotton	0.836268	0.909685	0.910834						
background	0.982660	0.996519	0.991254	0.983142	0.895125	0.922168	0.943000	480	15
