class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.987507	0.992603	0.993714	0.988671	0.937998	0.969649	0.967644	32	1
abuth	0.925958	0.974104	0.961556						
cotton	0.900529	0.942239	0.947662						
background	0.988154	0.993281	0.994042	0.989433	0.942087	0.971052	0.969856	64	2
abuth	0.933165	0.974555	0.965427						
cotton	0.904941	0.945321	0.950099						
background	0.987881	0.992753	0.993904	0.989187	0.941348	0.972277	0.969466	96	3
abuth	0.930574	0.975052	0.964039						
cotton	0.905590	0.949026	0.950456						
background	0.987209	0.990987	0.993563	0.988269	0.936249	0.976394	0.966696	128	4
abuth	0.922387	0.974817	0.959627						
cotton	0.899151	0.963377	0.946898						
background	0.988467	0.992973	0.994200	0.989755	0.944119	0.975598	0.970957	160	5
abuth	0.935671	0.974072	0.966767						
cotton	0.908220	0.959749	0.951903						
background	0.988929	0.993980	0.994434	0.990037	0.944091	0.971997	0.970919	192	6
abuth	0.938369	0.972663	0.968205						
cotton	0.904976	0.949347	0.950118						
background	0.989189	0.994532	0.994565	0.990409	0.945738	0.970515	0.971788	224	7
abuth	0.943478	0.975000	0.970917						
cotton	0.904547	0.942012	0.949882						
background	0.989519	0.994261	0.994732	0.990690	0.947591	0.974192	0.972795	256	8
abuth	0.944581	0.975383	0.971501						
cotton	0.908672	0.952931	0.952151						
background	0.989394	0.994532	0.994669	0.990448	0.945662	0.971849	0.971752	288	9
abuth	0.942223	0.972233	0.970252						
cotton	0.905369	0.948783	0.950335						
background	0.989177	0.993959	0.994559	0.990403	0.946796	0.974336	0.972385	320	10
abuth	0.941216	0.974194	0.969718						
cotton	0.909994	0.954855	0.952877						
background	0.989134	0.993691	0.994537	0.990365	0.946772	0.975495	0.972374	352	11
abuth	0.940832	0.974797	0.969514						
cotton	0.910349	0.957997	0.953071						
background	0.989427	0.994141	0.994685	0.990624	0.947726	0.975116	0.972878	384	12
abuth	0.943264	0.973572	0.970804						
cotton	0.910487	0.957634	0.953146						
background	0.989091	0.994129	0.994515	0.990294	0.946120	0.973030	0.972022	416	13
abuth	0.940015	0.972633	0.969080						
cotton	0.909253	0.952329	0.952470						
background	0.989137	0.993813	0.994539	0.990364	0.946723	0.975121	0.972348	448	14
abuth	0.940752	0.973741	0.969472						
cotton	0.910280	0.957809	0.953033						
background	0.989313	0.993956	0.994628	0.990536	0.947476	0.975535	0.972748	480	15
abuth	0.942501	0.973749	0.970399						
cotton	0.910614	0.958899	0.953216						
background	0.989190	0.993715	0.994565	0.990424	0.947045	0.975723	0.972519	512	16
abuth	0.941464	0.974968	0.969850						
cotton	0.910481	0.958485	0.953143						
background	0.989295	0.994112	0.994618	0.990520	0.947292	0.974087	0.972648	544	17
abuth	0.942406	0.974698	0.970349						
cotton	0.910177	0.953451	0.952977						
