Iter	epoch	cotton_to_abuth	abuth_to_cotton
32	1	0.457105	0.050625
64	2	0.897176	0.000217
96	3	0.689557	0.006560
128	4	0.469004	0.008612
160	5	0.598699	0.000533
192	6	0.301592	0.002355
224	7	0.111531	0.037244
256	8	0.148168	0.012052
288	9	0.066225	0.042875
320	10	0.075447	0.015685
352	11	0.046571	0.031404
384	12	0.129164	0.010148
416	13	0.096312	0.014087
448	14	0.033511	0.014320
480	15	0.017976	0.007566
512	16	0.062979	0.004392
544	17	0.067819	0.001071
576	18	0.009743	0.009613
608	19	0.035359	0.003238
640	20	0.054150	0.001453
672	21	0.061517	0.000440
704	22	0.089906	0.000307
736	23	0.036022	0.002172
768	24	0.004044	0.010035
800	25	0.152816	0.000010
832	26	0.023886	0.000552
864	27	0.013407	0.000762
896	28	0.002680	0.001451
928	29	0.000388	0.007628
960	30	0.003397	0.000884
992	31	0.008451	0.000242
1024	32	0.001416	0.001179
1056	33	0.001473	0.001677
1088	34	0.003268	0.000777
1120	35	0.004498	0.002843
1152	36	0.001957	0.004824
1184	37	0.002932	0.002987
1216	38	0.001401	0.000773
1248	39	0.003204	0.000569
1280	40	0.004900	0.001281
1312	41	0.002573	0.003162
1344	42	0.002476	0.003049
1376	43	0.003474	0.001024
1408	44	0.006328	0.000706
1440	45	0.007641	0.000745
1472	46	0.011049	0.000637
1504	47	0.007686	0.000963
1536	48	0.010344	0.000481
1568	49	0.009340	0.000518
1600	50	0.007816	0.000636
