class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.956710	0.997488	0.977876	0.936294	0.562968	0.628495	0.653675	32	1
abuth	0.600473	0.740826	0.750369						
cotton	0.131721	0.147172	0.232780						
background	0.971732	0.981766	0.985664	0.936004	0.523902	0.645064	0.579226	64	2
abuth	0.598299	0.951749	0.748670						
cotton	0.001675	0.001676	0.003343						
background	0.974506	0.985790	0.987088	0.946905	0.598521	0.702390	0.687428	96	3
abuth	0.656566	0.953065	0.792683						
cotton	0.164491	0.168314	0.282512						
background	0.962984	0.977628	0.981143	0.946208	0.649002	0.750698	0.754541	128	4
abuth	0.665100	0.945686	0.798871						
cotton	0.318923	0.328779	0.483611						
background	0.976193	0.982178	0.987953	0.953035	0.654534	0.758846	0.754684	160	5
abuth	0.687805	0.986774	0.815029						
cotton	0.299604	0.307585	0.461070						
background	0.980163	0.997194	0.989982	0.969143	0.768884	0.820154	0.857899	192	6
abuth	0.777222	0.900578	0.874648						
cotton	0.549267	0.562689	0.709067						
background	0.986243	0.994860	0.993074	0.979665	0.851160	0.905116	0.915608	224	7
abuth	0.855211	0.926109	0.921955						
cotton	0.712027	0.794378	0.831794						
background	0.980969	0.990004	0.990393	0.975807	0.840476	0.897702	0.909506	256	8
abuth	0.826437	0.948300	0.904972						
cotton	0.714022	0.754801	0.833154						
background	0.986433	0.995660	0.993170	0.981284	0.869212	0.921086	0.927449	288	9
abuth	0.859473	0.903083	0.924427						
cotton	0.761729	0.864516	0.864752						
background	0.986677	0.994404	0.993294	0.983644	0.886197	0.927539	0.937540	320	10
abuth	0.891185	0.954558	0.942462						
cotton	0.780728	0.833654	0.876864						
background	0.985837	0.996065	0.992868	0.982682	0.884673	0.928958	0.936995	352	11
abuth	0.872641	0.903733	0.931990						
cotton	0.795540	0.887075	0.886129						
background	0.987642	0.994343	0.993783	0.982655	0.873835	0.919367	0.929994	384	12
abuth	0.875460	0.957317	0.933595						
cotton	0.758404	0.806441	0.862605						
background	0.987517	0.994896	0.993719	0.983613	0.884524	0.927645	0.936644	416	13
abuth	0.882723	0.945471	0.937709						
cotton	0.783331	0.842568	0.878503						
background	0.986956	0.992870	0.993435	0.985872	0.911258	0.955635	0.952567	448	14
abuth	0.904486	0.950299	0.949848						
cotton	0.842333	0.923737	0.914420						
background	0.988162	0.995540	0.994046	0.988215	0.926899	0.955335	0.961370	480	15
abuth	0.926283	0.954249	0.961731						
cotton	0.866252	0.916218	0.928333						
background	0.985151	0.988640	0.992520	0.983970	0.901657	0.956559	0.947062	512	16
abuth	0.893257	0.979492	0.943619						
cotton	0.826564	0.901544	0.905048						
background	0.987662	0.991798	0.993793	0.986236	0.910622	0.955351	0.952098	544	17
abuth	0.909707	0.976206	0.952719						
cotton	0.834496	0.898048	0.909782						
background	0.986888	0.994553	0.993401	0.987274	0.923049	0.953866	0.959239	576	18
abuth	0.921516	0.955483	0.959155						
cotton	0.860742	0.911560	0.925160						
background	0.986403	0.994783	0.993155	0.986315	0.916843	0.948145	0.955797	608	19
abuth	0.909041	0.947465	0.952353						
cotton	0.855086	0.902188	0.921883						
background	0.988261	0.995263	0.994096	0.987288	0.916677	0.946878	0.955548	640	20
abuth	0.917179	0.962613	0.956801						
cotton	0.844591	0.882759	0.915749						
background	0.988088	0.992545	0.994008	0.986936	0.915338	0.955928	0.954799	672	21
abuth	0.914875	0.976467	0.955546						
cotton	0.843051	0.898771	0.914843						
background	0.987977	0.992543	0.993952	0.985606	0.903085	0.944050	0.947734	704	22
abuth	0.899739	0.981210	0.947224						
cotton	0.821539	0.858397	0.902028						
background	0.987314	0.994494	0.993617	0.987192	0.921504	0.952288	0.958402	736	23
abuth	0.915776	0.958992	0.956037						
cotton	0.861421	0.903378	0.925552						
background	0.988532	0.993879	0.994233	0.988938	0.933593	0.968284	0.965110	768	24
abuth	0.932518	0.961968	0.965081						
cotton	0.879730	0.949006	0.936017						
background	0.988724	0.994637	0.994330	0.983511	0.875752	0.917792	0.930996	800	25
abuth	0.882445	0.973970	0.937552						
cotton	0.756088	0.784769	0.861105						
background	0.988668	0.995593	0.994302	0.989054	0.932208	0.956465	0.964292	832	26
abuth	0.935098	0.967363	0.966461						
cotton	0.872859	0.906439	0.932114						
background	0.988278	0.994671	0.994105	0.989160	0.934996	0.960140	0.965847	864	27
abuth	0.938352	0.975023	0.968196						
cotton	0.878358	0.910725	0.935240						
background	0.988807	0.995479	0.994372	0.990023	0.942982	0.966797	0.970284	896	28
abuth	0.941548	0.961361	0.969894						
cotton	0.898590	0.943551	0.946587						
background	0.988856	0.995022	0.994397	0.989595	0.938752	0.968172	0.967964	928	29
abuth	0.937062	0.956609	0.967508						
cotton	0.890338	0.952883	0.941988						
background	0.987702	0.993172	0.993813	0.989098	0.938994	0.967697	0.968132	960	30
abuth	0.935611	0.978501	0.966734						
cotton	0.893668	0.931419	0.943848						
background	0.988967	0.993712	0.994453	0.990040	0.942898	0.971269	0.970237	992	31
abuth	0.941308	0.979117	0.969767						
cotton	0.898419	0.940977	0.946492						
background	0.988221	0.992401	0.994075	0.989620	0.942405	0.976299	0.969988	1024	32
abuth	0.939749	0.978954	0.968939						
cotton	0.899245	0.957542	0.946950						
background	0.987387	0.993962	0.993654	0.988822	0.939204	0.967773	0.968298	1056	33
abuth	0.928983	0.959611	0.963184						
cotton	0.901241	0.949747	0.948056						
background	0.987962	0.992358	0.993944	0.989350	0.941958	0.974738	0.969781	1088	34
abuth	0.934370	0.978353	0.966071						
cotton	0.903543	0.953502	0.949328						
