class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.927417	0.998735	0.962342	0.910486	0.453074	0.510179	0.528020	32	1
abuth	0.412752	0.512470	0.584324						
cotton	0.019054	0.019331	0.037395						
background	0.949000	0.998525	0.973833	0.930085	0.546023	0.606936	0.645438	64	2
abuth	0.537419	0.655236	0.699119						
cotton	0.151650	0.167046	0.263361						
background	0.938416	0.998889	0.968230	0.925874	0.568946	0.626674	0.688577	96	3
abuth	0.476012	0.511273	0.644998						
cotton	0.292410	0.369861	0.452503						
background	0.965998	0.998057	0.982705	0.947586	0.601022	0.668638	0.686268	128	4
abuth	0.686175	0.853221	0.813884						
cotton	0.150891	0.154636	0.262216						
background	0.970151	0.997951	0.984849	0.959978	0.713454	0.765886	0.810578	160	5
abuth	0.755853	0.846908	0.860952						
cotton	0.414359	0.452798	0.585932						
background	0.975015	0.997455	0.987349	0.956947	0.670315	0.736787	0.768972	192	6
abuth	0.715361	0.871278	0.834065						
cotton	0.320571	0.341629	0.485503						
background	0.984760	0.995555	0.992322	0.974926	0.816035	0.882328	0.892242	224	7
abuth	0.817508	0.879272	0.899592						
cotton	0.645838	0.772157	0.784814						
background	0.984395	0.992660	0.992136	0.970586	0.771378	0.839814	0.858870	256	8
abuth	0.786701	0.952670	0.880619						
cotton	0.543037	0.574112	0.703855						
background	0.985892	0.995143	0.992896	0.976217	0.816913	0.872619	0.892318	288	9
abuth	0.827923	0.938140	0.905862						
cotton	0.636923	0.684573	0.778196						
background	0.983417	0.996485	0.991639	0.971012	0.768515	0.825086	0.855373	320	10
abuth	0.801855	0.937080	0.890033						
cotton	0.520272	0.541694	0.684446						
background	0.983407	0.992110	0.991634	0.957654	0.649001	0.739451	0.742625	352	11
abuth	0.707878	0.967206	0.828956						
cotton	0.255718	0.259037	0.407286						
background	0.986640	0.992448	0.993275	0.978722	0.841779	0.898846	0.909566	384	12
abuth	0.842390	0.963761	0.914454						
cotton	0.696308	0.740329	0.820969						
background	0.985689	0.993420	0.992793	0.979554	0.853717	0.906357	0.917511	416	13
abuth	0.850798	0.944455	0.919385						
cotton	0.724664	0.781196	0.840354						
background	0.987341	0.995385	0.993630	0.985628	0.903921	0.942328	0.948142	448	14
abuth	0.906600	0.939065	0.951012						
cotton	0.817822	0.892534	0.899782						
