Iter	epoch	cotton_to_abuth	abuth_to_cotton
32	1	0.489611	0.006408
64	2	0.445360	0.043825
96	3	0.148016	0.118760
128	4	0.484078	0.009408
160	5	0.228229	0.037774
192	6	0.423478	0.026083
224	7	0.111863	0.073775
256	8	0.334866	0.012392
288	9	0.222467	0.018691
320	10	0.307297	0.010903
352	11	0.635996	0.000212
384	12	0.202092	0.008817
416	13	0.143457	0.018361
448	14	0.022815	0.025314
480	15	0.290695	0.002517
512	16	0.084241	0.008286
544	17	0.071442	0.008193
576	18	0.113565	0.000955
608	19	0.123576	0.002316
640	20	0.131456	0.003805
672	21	0.081429	0.002550
704	22	0.028860	0.005672
736	23	0.042230	0.002071
768	24	0.050787	0.000638
800	25	0.023551	0.001279
832	26	0.032242	0.000756
864	27	0.025092	0.004741
896	28	0.107821	0.000372
928	29	0.019352	0.002602
960	30	0.019388	0.002047
992	31	0.014824	0.000962
1024	32	0.017341	0.002034
1056	33	0.024129	0.006537
1088	34	0.025525	0.011110
1120	35	0.054223	0.002114
1152	36	0.050058	0.006139
1184	37	0.107351	0.001093
1216	38	0.070498	0.001089
1248	39	0.055762	0.001460
1280	40	0.059895	0.002289
1312	41	0.053243	0.001633
1344	42	0.035467	0.005786
1376	43	0.034977	0.006562
1408	44	0.034288	0.008027
1440	45	0.044567	0.004463
1472	46	0.041505	0.003452
1504	47	0.047938	0.002050
1536	48	0.048527	0.002581
1568	49	0.053448	0.002227
1600	50	0.054309	0.003038
