class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.973111	0.994697	0.986372	0.939237	0.524263	0.620730	0.578718	32	1
abuth	0.599648	0.867464	0.749725						
cotton	0.000029	0.000029	0.000057						
background	0.962439	0.998521	0.980860	0.941441	0.617915	0.687777	0.729386	64	2
abuth	0.584561	0.669989	0.737821						
cotton	0.306743	0.394822	0.469477						
background	0.982527	0.993918	0.991187	0.950224	0.583718	0.680767	0.659157	96	3
abuth	0.665334	0.943026	0.799040						
cotton	0.103292	0.105359	0.187243						
background	0.981031	0.996804	0.990425	0.950402	0.588404	0.676742	0.667861	128	4
abuth	0.663420	0.909457	0.797658						
cotton	0.120762	0.123965	0.215500						
background	0.984805	0.995321	0.992344	0.964094	0.725777	0.807102	0.823284	160	5
abuth	0.725917	0.864127	0.841196						
cotton	0.466610	0.561858	0.636311						
background	0.984543	0.996133	0.992211	0.962498	0.699373	0.776269	0.796973	192	6
abuth	0.729186	0.900491	0.843387						
cotton	0.384391	0.432184	0.555321						
background	0.985363	0.993080	0.992627	0.960457	0.676257	0.762697	0.773246	224	7
abuth	0.717515	0.945971	0.835527						
cotton	0.325893	0.349039	0.491583						
background	0.987287	0.994371	0.993603	0.966397	0.720991	0.799225	0.815382	256	8
abuth	0.755248	0.947558	0.860560						
cotton	0.420438	0.455746	0.591983						
background	0.986836	0.996171	0.993374	0.965398	0.709637	0.784450	0.804822	288	9
abuth	0.748263	0.936819	0.856008						
cotton	0.393810	0.420360	0.565085						
background	0.981747	0.987036	0.990789	0.958208	0.677195	0.773160	0.776461	320	10
abuth	0.707892	0.972833	0.828966						
cotton	0.341946	0.359610	0.509627						
background	0.987661	0.994112	0.993792	0.969161	0.745520	0.821209	0.836612	352	11
abuth	0.775873	0.949274	0.873793						
cotton	0.473026	0.520241	0.642251						
background	0.988249	0.994540	0.994090	0.964864	0.699555	0.781055	0.794212	384	12
abuth	0.746357	0.962111	0.854759						
cotton	0.364059	0.386512	0.533788						
background	0.986575	0.994891	0.993242	0.970963	0.767694	0.838404	0.855313	416	13
abuth	0.789167	0.927057	0.882162						
cotton	0.527341	0.593264	0.690535						
background	0.987218	0.993441	0.993568	0.966593	0.719923	0.798975	0.813863	448	14
abuth	0.759256	0.967631	0.863156						
cotton	0.413293	0.435852	0.584865						
background	0.987150	0.996033	0.993534	0.971852	0.770708	0.836779	0.857453	480	15
abuth	0.793955	0.930433	0.885145						
cotton	0.531020	0.583871	0.693681						
background	0.988633	0.994544	0.994284	0.975528	0.811108	0.887086	0.888658	512	16
abuth	0.809018	0.895577	0.894428						
cotton	0.635673	0.771138	0.777262						
background	0.988655	0.994830	0.994295	0.973595	0.783355	0.851724	0.867269	544	17
abuth	0.802358	0.945900	0.890343						
cotton	0.559052	0.614443	0.717169						
background	0.988639	0.994370	0.994287	0.971038	0.758034	0.830417	0.847044	576	18
abuth	0.784173	0.958492	0.879033						
cotton	0.501290	0.538390	0.667812						
background	0.987999	0.994560	0.993963	0.971207	0.760815	0.831468	0.849185	608	19
abuth	0.788827	0.955964	0.881949						
cotton	0.505618	0.543878	0.671642						
background	0.988292	0.995022	0.994111	0.973673	0.783316	0.849725	0.867004	640	20
abuth	0.806230	0.949618	0.892721						
cotton	0.555426	0.604535	0.714179						
background	0.988738	0.994681	0.994337	0.975961	0.805870	0.871060	0.884113	672	21
abuth	0.819947	0.944779	0.901067						
cotton	0.608926	0.673722	0.756935						
background	0.988462	0.995670	0.994198	0.977420	0.819263	0.878930	0.893597	704	22
abuth	0.833319	0.936954	0.909082						
cotton	0.636008	0.704165	0.777512						
background	0.988466	0.992777	0.994199	0.975821	0.805323	0.873692	0.883549	736	23
abuth	0.822828	0.966544	0.902804						
cotton	0.604676	0.661755	0.753643						
background	0.988865	0.995055	0.994401	0.970973	0.752088	0.822676	0.841393	768	24
abuth	0.787141	0.966433	0.880894						
cotton	0.480258	0.506540	0.648884						
background	0.987678	0.994149	0.993801	0.972719	0.775384	0.842852	0.860837	800	25
abuth	0.800841	0.963090	0.889408						
cotton	0.537635	0.571316	0.699301						
background	0.988678	0.995041	0.994307	0.976094	0.805942	0.869498	0.884004	832	26
abuth	0.822925	0.945678	0.902862						
cotton	0.606223	0.667776	0.754843						
background	0.988976	0.995265	0.994458	0.977538	0.820598	0.883565	0.894663	864	27
abuth	0.831037	0.933716	0.907723						
cotton	0.641780	0.721714	0.781810						
background	0.988728	0.995672	0.994332	0.974376	0.782896	0.844533	0.866100	896	28
abuth	0.813128	0.966905	0.896934						
cotton	0.546831	0.571021	0.707034						
background	0.988995	0.994434	0.994467	0.977316	0.816425	0.878407	0.891565	928	29
abuth	0.830600	0.956775	0.907462						
cotton	0.629681	0.684011	0.772766						
background	0.988136	0.996249	0.994033	0.974815	0.789788	0.848269	0.871623	960	30
abuth	0.816356	0.956285	0.898894						
cotton	0.564873	0.592274	0.721941						
background	0.988915	0.994457	0.994427	0.978040	0.823847	0.885247	0.896748	992	31
abuth	0.837735	0.952827	0.911704						
cotton	0.644891	0.708459	0.784114						
background	0.988905	0.995289	0.994422	0.973343	0.774648	0.840231	0.859886	1024	32
abuth	0.803209	0.963795	0.890866						
cotton	0.531828	0.561609	0.694371						
background	0.989218	0.994814	0.994580	0.979174	0.834885	0.895953	0.904429	1056	33
abuth	0.844912	0.941365	0.915938						
cotton	0.670523	0.751681	0.802770						
background	0.989049	0.995675	0.994494	0.973158	0.771032	0.836070	0.856849	1088	34
abuth	0.802203	0.964733	0.890247						
cotton	0.521845	0.547803	0.685806						
background	0.989243	0.995562	0.994592	0.978547	0.827617	0.887091	0.899402	1120	35
abuth	0.839661	0.939843	0.912843						
cotton	0.653946	0.725869	0.790770						
background	0.989438	0.995322	0.994691	0.975412	0.792534	0.855041	0.873635	1152	36
abuth	0.817620	0.965711	0.899660						
cotton	0.570542	0.604091	0.726554						
background	0.989184	0.996018	0.994563	0.980831	0.850015	0.904672	0.914546	1184	37
abuth	0.858026	0.931698	0.923589						
cotton	0.702833	0.786299	0.825487						
background	0.989603	0.994907	0.994774	0.980017	0.839653	0.896596	0.907533	1216	38
abuth	0.851286	0.955176	0.919670						
cotton	0.678070	0.739706	0.808154						
background	0.989647	0.994635	0.994797	0.975724	0.796055	0.860385	0.876334	1248	39
abuth	0.819416	0.969190	0.900746						
cotton	0.579103	0.617329	0.733458						
background	0.989682	0.995033	0.994814	0.979226	0.831552	0.890007	0.901995	1280	40
abuth	0.844851	0.954618	0.915901						
cotton	0.660122	0.720369	0.795269						
background	0.989471	0.995473	0.994707	0.977351	0.811200	0.869698	0.887434	1312	41
abuth	0.832617	0.963442	0.908665						
cotton	0.611511	0.650179	0.758929						
background	0.989408	0.995596	0.994676	0.979453	0.833033	0.888036	0.902902	1344	42
abuth	0.848889	0.955112	0.918269						
cotton	0.660800	0.713401	0.795761						
background	0.989291	0.995808	0.994617	0.979555	0.834566	0.888978	0.903972	1376	43
abuth	0.849922	0.951158	0.918873						
cotton	0.664484	0.719967	0.798426						
background	0.989563	0.995384	0.994754	0.980264	0.842672	0.899448	0.909589	1408	44
abuth	0.853263	0.944660	0.920822						
cotton	0.685190	0.758299	0.813190						
background	0.989538	0.995239	0.994741	0.979438	0.833309	0.890319	0.903122	1440	45
abuth	0.848263	0.954648	0.917903						
cotton	0.662127	0.721071	0.796723						
background	0.989470	0.994999	0.994707	0.979554	0.834842	0.892080	0.904175	1472	46
abuth	0.849574	0.956293	0.918670						
cotton	0.665483	0.724947	0.799147						
background	0.989530	0.995011	0.994738	0.979362	0.833022	0.890949	0.902951	1504	47
abuth	0.847474	0.955238	0.917441						
cotton	0.662060	0.722598	0.796674						
background	0.989592	0.994867	0.994769	0.978851	0.827455	0.886345	0.899065	1536	48
abuth	0.843662	0.959531	0.915203						
cotton	0.649109	0.704639	0.787224						
background	0.989648	0.994888	0.994797	0.978823	0.826910	0.885800	0.898684	1568	49
abuth	0.843183	0.960058	0.914921						
cotton	0.647899	0.702455	0.786334						
background	0.989605	0.995040	0.994775	0.978993	0.828733	0.886969	0.899961	1600	50
abuth	0.844524	0.957870	0.915709						
cotton	0.652071	0.707997	0.789398						
