Iter	epoch	cotton_to_abuth	abuth_to_cotton
32	1	0.845040	0.000003
64	2	0.291105	0.130581
96	3	0.775100	0.005847
128	4	0.732775	0.009045
160	5	0.351472	0.077754
192	6	0.445388	0.048089
224	7	0.563904	0.022458
256	8	0.465842	0.022876
288	9	0.488642	0.018387
320	10	0.569239	0.010743
352	11	0.402890	0.026401
384	12	0.542008	0.012562
416	13	0.301965	0.044172
448	14	0.487581	0.010019
480	15	0.316423	0.033136
512	16	0.170395	0.076559
544	17	0.319380	0.027392
576	18	0.407601	0.013233
608	19	0.374545	0.020912
640	20	0.314249	0.025519
672	21	0.265717	0.028046
704	22	0.219238	0.031548
736	23	0.286510	0.017402
768	24	0.422302	0.009071
800	25	0.349453	0.013502
832	26	0.261354	0.028062
864	27	0.214589	0.037357
896	28	0.347110	0.006568
928	29	0.255820	0.020609
960	30	0.322042	0.007994
992	31	0.234032	0.022330
1024	32	0.369621	0.008773
1056	33	0.191897	0.032795
1088	34	0.380618	0.006904
1120	35	0.205546	0.033264
1152	36	0.328386	0.010988
1184	37	0.142745	0.037705
1216	38	0.205318	0.021053
1248	39	0.330599	0.008633
1280	40	0.226096	0.020501
1312	41	0.281495	0.012526
1344	42	0.218865	0.018837
1376	43	0.208523	0.021479
1408	44	0.182676	0.028632
1440	45	0.218940	0.020215
1472	46	0.218228	0.018684
1504	47	0.220667	0.020164
1536	48	0.238653	0.017784
1568	49	0.242847	0.016644
1600	50	0.235809	0.017700
