class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.962143	0.997573	0.980706	0.934550	0.516495	0.597609	0.577069	32	1
abuth	0.578504	0.786376	0.732978						
cotton	0.008839	0.008877	0.017524						
background	0.980239	0.996318	0.990021	0.946557	0.551069	0.646987	0.608634	64	2
abuth	0.647355	0.918916	0.785933						
cotton	0.025614	0.025728	0.049949						
background	0.982369	0.996614	0.991106	0.951166	0.586781	0.677372	0.662522	96	3
abuth	0.670920	0.926411	0.803055						
cotton	0.107055	0.109091	0.193404						
background	0.983584	0.996935	0.991724	0.952017	0.592889	0.682964	0.672484	128	4
abuth	0.668861	0.923423	0.801578						
cotton	0.126221	0.128532	0.224150						
background	0.985681	0.996097	0.992789	0.964031	0.724693	0.807726	0.822450	160	5
abuth	0.722447	0.848321	0.838861						
cotton	0.465953	0.578761	0.635699						
background	0.987448	0.994590	0.993684	0.953708	0.599259	0.696851	0.678487	192	6
abuth	0.678066	0.959605	0.808152						
cotton	0.132263	0.136357	0.233625						
background	0.987233	0.995270	0.993575	0.966123	0.726780	0.805529	0.822161	224	7
abuth	0.744489	0.910276	0.853532						
cotton	0.448619	0.511039	0.619375						
background	0.987158	0.995339	0.993538	0.960152	0.656396	0.742155	0.749209	256	8
abuth	0.717167	0.957022	0.835291						
cotton	0.264861	0.274104	0.418799						
background	0.987922	0.995136	0.993924	0.968160	0.740082	0.816684	0.833034	288	9
abuth	0.760233	0.924059	0.863787						
cotton	0.472092	0.530856	0.641390						
background	0.988139	0.994377	0.994034	0.958721	0.643927	0.735100	0.735224	320	10
abuth	0.706087	0.962808	0.827727						
cotton	0.237555	0.248115	0.383910						
background	0.987242	0.996147	0.993580	0.969836	0.766633	0.845316	0.856092	352	11
abuth	0.764396	0.864933	0.866468						
cotton	0.548262	0.674867	0.708229						
background	0.987666	0.996184	0.993795	0.962883	0.685987	0.766036	0.782256	384	12
abuth	0.727170	0.934721	0.842036						
cotton	0.343126	0.367203	0.510936						
background	0.988018	0.995906	0.993973	0.965403	0.706958	0.784303	0.802256	416	13
abuth	0.745004	0.941707	0.853871						
cotton	0.387851	0.415295	0.558923						
background	0.988382	0.994328	0.994157	0.964078	0.691552	0.774915	0.786256	448	14
abuth	0.740863	0.966081	0.851144						
cotton	0.345412	0.364336	0.513467						
background	0.988417	0.995887	0.994175	0.968100	0.730374	0.804256	0.823462	480	15
abuth	0.763568	0.943491	0.865936						
cotton	0.439135	0.473390	0.610277						
background	0.989089	0.995519	0.994515	0.964583	0.693176	0.774277	0.787998	512	16
abuth	0.740219	0.958247	0.850720						
cotton	0.350221	0.369065	0.518760						
background	0.988959	0.995525	0.994449	0.972448	0.777338	0.850036	0.863396	544	17
abuth	0.785820	0.915626	0.880066						
cotton	0.557236	0.638957	0.715673						
background	0.988871	0.995672	0.994405	0.973015	0.779721	0.849007	0.864908	576	18
abuth	0.792754	0.927419	0.884398						
cotton	0.557538	0.623930	0.715923						
background	0.987221	0.991668	0.993570	0.963637	0.697862	0.785377	0.793906	608	19
abuth	0.736775	0.973388	0.848440						
cotton	0.369590	0.391075	0.539709						
background	0.988349	0.996099	0.994140	0.970897	0.756754	0.825203	0.846146	640	20
abuth	0.781828	0.940849	0.877557						
cotton	0.500084	0.538659	0.666742						
background	0.988874	0.995246	0.994406	0.970641	0.752726	0.824313	0.842603	672	21
abuth	0.780342	0.952186	0.876620						
cotton	0.488962	0.525507	0.656782						
background	0.988420	0.995610	0.994176	0.972418	0.770478	0.837216	0.857113	704	22
abuth	0.793914	0.947764	0.885120						
cotton	0.529101	0.568274	0.692042						
background	0.987752	0.996279	0.993838	0.972583	0.772699	0.836785	0.858620	736	23
abuth	0.799891	0.941158	0.888822						
cotton	0.530454	0.572918	0.693198						
background	0.988441	0.996232	0.994187	0.974397	0.792635	0.856342	0.874746	768	24
abuth	0.803118	0.926559	0.890810						
cotton	0.586346	0.646236	0.739241						
background	0.989437	0.994223	0.994691	0.965387	0.700459	0.783613	0.794908	800	25
abuth	0.746712	0.971150	0.854992						
cotton	0.365226	0.385467	0.535042						
background	0.989415	0.994761	0.994679	0.974407	0.787521	0.854988	0.870348	832	26
abuth	0.806060	0.954789	0.892617						
cotton	0.567090	0.615414	0.723749						
background	0.989323	0.995492	0.994633	0.970809	0.749865	0.820724	0.839719	864	27
abuth	0.782731	0.961067	0.878126						
cotton	0.477541	0.505613	0.646399						
background	0.988761	0.996091	0.994349	0.974659	0.787821	0.848875	0.870262	896	28
abuth	0.811882	0.954124	0.896175						
cotton	0.562820	0.596412	0.720262						
background	0.988964	0.993465	0.994451	0.971950	0.765630	0.838588	0.853141	928	29
abuth	0.790508	0.970219	0.882999						
cotton	0.517418	0.552079	0.681972						
background	0.989496	0.995593	0.994720	0.975721	0.798426	0.861619	0.878435	960	30
abuth	0.816325	0.949943	0.898875						
cotton	0.589458	0.639321	0.741710						
background	0.989398	0.994607	0.994671	0.974195	0.786018	0.854873	0.869149	992	31
abuth	0.805668	0.953364	0.892377						
cotton	0.562989	0.616649	0.720401						
background	0.989404	0.995677	0.994674	0.971814	0.760025	0.828999	0.848363	1024	32
abuth	0.788206	0.956321	0.881561						
cotton	0.502465	0.535001	0.668854						
background	0.989241	0.995841	0.994592	0.974967	0.791601	0.855190	0.873276	1056	33
abuth	0.812043	0.947695	0.896273						
cotton	0.573519	0.622034	0.728964						
background	0.989368	0.995928	0.994655	0.974186	0.782311	0.846292	0.866078	1088	34
abuth	0.805922	0.954140	0.892532						
cotton	0.551645	0.588808	0.711045						
background	0.989740	0.995300	0.994844	0.976573	0.806072	0.869074	0.884030	1120	35
abuth	0.822572	0.952200	0.902650						
cotton	0.605904	0.659722	0.754596						
background	0.989780	0.995285	0.994864	0.977414	0.815098	0.877442	0.890650	1152	36
abuth	0.827694	0.947205	0.905725						
cotton	0.627819	0.689836	0.771362						
background	0.989617	0.994620	0.994782	0.975151	0.794640	0.861882	0.875774	1184	37
abuth	0.810553	0.953840	0.895365						
cotton	0.583750	0.637185	0.737175						
background	0.989319	0.996038	0.994631	0.975195	0.795241	0.859486	0.876188	1216	38
abuth	0.812049	0.937585	0.896277						
cotton	0.584355	0.644835	0.737657						
background	0.989221	0.995058	0.994581	0.977052	0.813253	0.875400	0.889323	1248	39
abuth	0.827273	0.949064	0.905473						
cotton	0.623263	0.682079	0.767914						
background	0.989021	0.995613	0.994480	0.974542	0.785002	0.847317	0.867937	1280	40
abuth	0.811552	0.963832	0.895974						
cotton	0.554432	0.582505	0.713357						
background	0.989524	0.994991	0.994734	0.976150	0.801330	0.864000	0.880434	1312	41
abuth	0.821057	0.962286	0.901737						
cotton	0.593410	0.634724	0.744830						
background	0.989595	0.995055	0.994771	0.978077	0.821086	0.881181	0.894808	1344	42
abuth	0.834464	0.954487	0.909763						
cotton	0.639198	0.694002	0.779891						
background	0.989413	0.995751	0.994678	0.978254	0.822592	0.880033	0.895848	1376	43
abuth	0.836346	0.949566	0.910880						
cotton	0.642018	0.694784	0.781986						
background	0.989635	0.995260	0.994790	0.979763	0.839159	0.898763	0.907365	1408	44
abuth	0.846817	0.938406	0.917056						
cotton	0.681025	0.762624	0.810250						
background	0.989829	0.995286	0.994888	0.979425	0.833652	0.892015	0.903516	1440	45
abuth	0.844547	0.949105	0.915723						
cotton	0.666581	0.731653	0.799938						
background	0.989889	0.995459	0.994919	0.979645	0.834730	0.891353	0.904207	1472	46
abuth	0.846391	0.952441	0.916806						
cotton	0.667911	0.726160	0.800895						
background	0.989740	0.995612	0.994844	0.977515	0.812513	0.870663	0.888521	1504	47
abuth	0.830818	0.961874	0.907592						
cotton	0.616979	0.654503	0.763126						
background	0.989806	0.995440	0.994877	0.978317	0.820867	0.878404	0.894529	1536	48
abuth	0.836437	0.960349	0.910934						
cotton	0.636359	0.679424	0.777774						
background	0.989873	0.995359	0.994911	0.978758	0.825024	0.882169	0.897430	1568	49
abuth	0.840043	0.960604	0.913069						
cotton	0.645156	0.690545	0.784310						
background	0.989802	0.995656	0.994875	0.978324	0.820246	0.876930	0.894029	1600	50
abuth	0.837109	0.960835	0.911333						
cotton	0.633826	0.674300	0.775879						
