Iter	epoch	cotton_to_abuth	abuth_to_cotton
32	1	0.716855	0.001632
64	2	0.821791	0.000909
96	3	0.750850	0.005192
128	4	0.760254	0.003192
160	5	0.327236	0.098040
192	6	0.801044	0.002857
224	7	0.413080	0.050024
256	8	0.635931	0.008555
288	9	0.402092	0.039860
320	10	0.695471	0.005268
352	11	0.234189	0.094311
384	12	0.558902	0.020179
416	13	0.511214	0.018928
448	14	0.564470	0.011706
480	15	0.449112	0.022977
512	16	0.570696	0.009896
544	17	0.307355	0.048146
576	18	0.320200	0.035179
608	19	0.563729	0.006156
640	20	0.390418	0.019901
672	21	0.414853	0.016199
704	22	0.359369	0.018912
736	23	0.333105	0.023109
768	24	0.293910	0.028601
800	25	0.568893	0.005528
832	26	0.329933	0.020881
864	27	0.430284	0.011338
896	28	0.325021	0.014184
928	29	0.398413	0.010916
960	30	0.300453	0.021328
992	31	0.324744	0.025450
1024	32	0.409023	0.011304
1056	33	0.309084	0.022930
1088	34	0.347265	0.014533
1120	35	0.279455	0.024391
1152	36	0.256557	0.026507
1184	37	0.317212	0.020798
1216	38	0.284747	0.032644
1248	39	0.252432	0.027098
1280	40	0.344956	0.008564
1312	41	0.310655	0.012242
1344	42	0.257647	0.017170
1376	43	0.244819	0.019524
1408	44	0.179616	0.036129
1440	45	0.214439	0.025198
1472	46	0.218758	0.021364
1504	47	0.287603	0.010425
1536	48	0.266737	0.012273
1568	49	0.256667	0.012900
1600	50	0.268610	0.011256
