class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.979005	0.993934	0.989391	0.950595	0.598299	0.689319	0.681572	50	4
abuth	0.143785	0.146522	0.251420						
cotton	0.672107	0.927501	0.803904						
background	0.956973	0.998367	0.978013	0.945164	0.674858	0.750076	0.789725	100	7
abuth	0.504733	0.669881	0.670860						
cotton	0.562868	0.581982	0.720302						
background	0.984493	0.996698	0.992186	0.974592	0.819464	0.894259	0.895214	150	10
abuth	0.667801	0.864335	0.800816						
cotton	0.806097	0.821743	0.892640						
background	0.985634	0.996685	0.992765	0.984337	0.894625	0.922747	0.942579	200	13
abuth	0.795223	0.828060	0.885932						
cotton	0.903020	0.943494	0.949039						
background	0.986781	0.992006	0.993346	0.983560	0.888337	0.933983	0.939032	250	16
abuth	0.794329	0.834450	0.885377						
cotton	0.883901	0.975491	0.938373						
background	0.988138	0.993521	0.994034	0.984615	0.889906	0.930919	0.939731	300	19
abuth	0.786924	0.819355	0.880758						
cotton	0.894657	0.979879	0.944400						
background	0.988932	0.994104	0.994435	0.987379	0.914821	0.950818	0.954425	350	22
abuth	0.837755	0.885157	0.911715						
cotton	0.917776	0.973192	0.957125						
background	0.989390	0.994540	0.994667	0.989261	0.932064	0.964832	0.964194	400	25
abuth	0.871715	0.933225	0.931461						
cotton	0.935087	0.966729	0.966455						
background	0.989825	0.995155	0.994886	0.989989	0.936856	0.963821	0.966833	450	29
abuth	0.879279	0.922344	0.935762						
cotton	0.941465	0.973963	0.969850						
background	0.988412	0.993108	0.994172	0.988167	0.925964	0.958680	0.960843	500	32
abuth	0.864574	0.898201	0.927369						
cotton	0.924907	0.984732	0.960989						
background	0.989217	0.995538	0.994579	0.987510	0.913663	0.943170	0.953724	550	35
abuth	0.833621	0.861553	0.909262						
cotton	0.918152	0.972418	0.957330						
background	0.989414	0.995347	0.994679	0.988785	0.925930	0.952772	0.960728	600	38
abuth	0.857969	0.887137	0.923555						
cotton	0.930408	0.975833	0.963949						
background	0.988855	0.993959	0.994396	0.986742	0.908207	0.942929	0.950587	650	41
abuth	0.824154	0.851136	0.903601						
cotton	0.911611	0.983693	0.953762						
background	0.989576	0.993787	0.994761	0.987631	0.915246	0.950859	0.954686	700	44
abuth	0.840136	0.875330	0.913124						
cotton	0.916027	0.983459	0.956173						
background	0.989950	0.994801	0.994950	0.989135	0.928227	0.958045	0.962040	750	47
abuth	0.864220	0.901391	0.927165						
cotton	0.930512	0.977942	0.964005						
background	0.989908	0.994832	0.994928	0.988816	0.924918	0.954947	0.960166	800	50
abuth	0.857060	0.890792	0.923029						
cotton	0.927788	0.979218	0.962542						
