class	      IoU	    Acc	        F1	        aAcc	        mIoU	 mAcc	    mF1	        Iter epoch
background	0.948239	0.992982	0.973432	0.928495	0.526848	0.600236	0.608400	100	7
abuth	0.071175	0.074846	0.132891						
cotton	0.561131	0.732881	0.718878						
background	0.968347	0.994254	0.983919	0.946160	0.609557	0.686960	0.706333	200	13
abuth	0.209773	0.228028	0.346798						
cotton	0.650549	0.838599	0.788282						
background	0.974278	0.993463	0.986972	0.956095	0.686910	0.763364	0.789773	300	19
abuth	0.390375	0.447187	0.561539						
cotton	0.696077	0.849443	0.820808						
background	0.975990	0.994511	0.987849	0.959357	0.710055	0.783843	0.810894	400	25
abuth	0.441640	0.513438	0.612691						
cotton	0.712535	0.843580	0.832141						
background	0.977358	0.994142	0.988550	0.961304	0.722009	0.795916	0.820929	500	32
abuth	0.463997	0.536619	0.633877						
cotton	0.724671	0.856987	0.840359						
background	0.977947	0.994463	0.988851	0.963477	0.741130	0.814163	0.837281	600	38
abuth	0.509713	0.600969	0.675245						
cotton	0.735730	0.847057	0.847747						
background	0.978336	0.994633	0.989049	0.964465	0.748470	0.820673	0.843206	700	44
abuth	0.525497	0.620480	0.688952						
cotton	0.741577	0.846904	0.851616						
background	0.978630	0.994476	0.989200	0.964746	0.749482	0.821570	0.843898	800	50
abuth	0.526110	0.617402	0.689478						
cotton	0.743705	0.852831	0.853017						
