class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.972257	0.996783	0.985934	0.954352	0.656648	0.724172	0.754766	100	7
abuth	0.289857	0.312255	0.449440						
cotton	0.707830	0.863477	0.828923						
background	0.982278	0.995890	0.991060	0.972978	0.798305	0.853119	0.879117	200	13
abuth	0.598039	0.651372	0.748466						
cotton	0.814597	0.912096	0.897827						
background	0.984910	0.991602	0.992397	0.980894	0.870122	0.929533	0.927778	300	19
abuth	0.752433	0.856973	0.858730						
cotton	0.873024	0.940024	0.932208						
background	0.986810	0.994919	0.993361	0.983448	0.886098	0.932109	0.937610	400	25
abuth	0.786380	0.871544	0.880418						
cotton	0.885103	0.929864	0.939050						
background	0.986772	0.995019	0.993342	0.983980	0.890677	0.933746	0.940335	500	32
abuth	0.793780	0.871603	0.885036						
cotton	0.891480	0.934615	0.942627						
background	0.987313	0.994813	0.993616	0.984649	0.895171	0.937425	0.943010	600	38
abuth	0.802549	0.875662	0.890460						
cotton	0.895649	0.941800	0.944952						
background	0.987562	0.995059	0.993742	0.985786	0.904842	0.940975	0.948714	700	44
abuth	0.821665	0.876588	0.902103						
cotton	0.905299	0.951280	0.950296						
background	0.987738	0.994729	0.993831	0.986042	0.906827	0.943983	0.949864	800	50
abuth	0.825215	0.883286	0.904239						
cotton	0.907529	0.953933	0.951523						
