class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.937687	0.995589	0.967842	0.921084	0.515122	0.574917	0.609888	50	4
abuth	0.108668	0.122244	0.196034						
cotton	0.499012	0.606918	0.665788						
background	0.963793	0.997350	0.981563	0.944463	0.646516	0.724567	0.759753	100	7
abuth	0.381127	0.523727	0.551907						
cotton	0.594629	0.652623	0.745790						
background	0.976079	0.997234	0.987895	0.963646	0.745234	0.810760	0.840373	150	10
abuth	0.513778	0.621484	0.678802						
cotton	0.745845	0.813563	0.854423						
background	0.974190	0.996170	0.986926	0.966275	0.757781	0.806479	0.848471	200	13
abuth	0.513366	0.527361	0.678443						
cotton	0.785786	0.895906	0.880045						
background	0.985814	0.993765	0.992856	0.979492	0.853435	0.910561	0.917286	250	16
abuth	0.722784	0.811650	0.839088						
cotton	0.851705	0.926268	0.919914						
background	0.987536	0.994104	0.993729	0.980473	0.852920	0.905207	0.916630	300	19
abuth	0.712983	0.766726	0.832446						
cotton	0.858242	0.954791	0.923714						
background	0.987057	0.995714	0.993487	0.981778	0.865446	0.906918	0.924671	350	22
abuth	0.738656	0.775080	0.849686						
cotton	0.870626	0.949959	0.930839						
background	0.987947	0.996089	0.993937	0.986071	0.902644	0.932930	0.947219	400	25
abuth	0.807235	0.841307	0.893337						
cotton	0.912749	0.961395	0.954385						
