class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.969857	0.997392	0.984698	0.955825	0.677576	0.737608	0.777183	50	4
abuth	0.340550	0.368025	0.508075						
cotton	0.722320	0.847406	0.838775						
background	0.977717	0.996869	0.988733	0.959570	0.682694	0.750204	0.780758	100	7
abuth	0.344323	0.355341	0.512262						
cotton	0.726042	0.898403	0.841280						
background	0.985688	0.996204	0.992792	0.983946	0.894948	0.928215	0.943047	150	10
abuth	0.809904	0.859435	0.894969						
cotton	0.889252	0.929005	0.941380						
background	0.986316	0.994276	0.993111	0.978801	0.841530	0.890503	0.909418	200	13
abuth	0.696049	0.719995	0.820789						
cotton	0.842224	0.957237	0.914355						
background	0.988404	0.995503	0.994168	0.987053	0.914802	0.946323	0.954523	250	16
abuth	0.844556	0.888135	0.915728						
cotton	0.911445	0.955331	0.953671						
background	0.987185	0.991826	0.993551	0.986766	0.920325	0.960574	0.957791	300	19
abuth	0.864724	0.917312	0.927455						
cotton	0.909065	0.972582	0.952367						
background	0.988033	0.993267	0.993981	0.987161	0.919664	0.955401	0.957375	350	22
abuth	0.860285	0.902475	0.924896						
cotton	0.910674	0.970460	0.953249						
background	0.988471	0.994350	0.994202	0.987481	0.919561	0.952203	0.957260	400	25
abuth	0.855453	0.894786	0.922096						
cotton	0.914759	0.967473	0.955482						
