class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.976208	0.996169	0.987961	0.955390	0.662173	0.735637	0.760870	50	4
abuth	0.305051	0.346591	0.467493						
cotton	0.705258	0.864151	0.827157						
background	0.978424	0.996323	0.989095	0.965802	0.732990	0.791926	0.824914	100	7
abuth	0.433494	0.456896	0.604808						
cotton	0.787052	0.922559	0.880838						
background	0.969819	0.977142	0.984678	0.964630	0.806091	0.900564	0.888175	150	10
abuth	0.705560	0.796863	0.827365						
cotton	0.742892	0.927687	0.852482						
background	0.987158	0.995355	0.993537	0.976891	0.817217	0.871535	0.892356	200	13
abuth	0.634815	0.668077	0.776620						
cotton	0.829679	0.951172	0.906912						
background	0.988180	0.995329	0.994055	0.983980	0.887721	0.937269	0.938646	250	16
abuth	0.793728	0.896383	0.885004						
cotton	0.881254	0.920095	0.936879						
background	0.987503	0.993617	0.993712	0.984968	0.899632	0.943652	0.945764	300	19
abuth	0.817862	0.885830	0.899806						
cotton	0.893533	0.951508	0.943773						
background	0.987817	0.993783	0.993871	0.984233	0.889106	0.930477	0.939388	350	22
abuth	0.791482	0.828684	0.883606						
cotton	0.888019	0.968962	0.940688						
background	0.987959	0.994142	0.993943	0.985956	0.905448	0.942863	0.949076	400	25
abuth	0.823691	0.869537	0.903323						
cotton	0.904693	0.964911	0.949962						
