class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.979172	0.992760	0.989477	0.952008	0.612171	0.703241	0.698927	50	4
abuth	0.172657	0.178440	0.294471						
cotton	0.684685	0.938523	0.812834						
background	0.967002	0.998228	0.983224	0.957468	0.738183	0.809350	0.839545	100	7
abuth	0.588063	0.754184	0.740604						
cotton	0.659484	0.675639	0.794806						
background	0.982021	0.990003	0.990929	0.978538	0.861976	0.921885	0.923127	150	10
abuth	0.751571	0.836452	0.858168						
cotton	0.852337	0.939201	0.920283						
background	0.985053	0.993820	0.992470	0.982898	0.884507	0.924036	0.936534	200	13
abuth	0.777042	0.819820	0.874534						
cotton	0.891427	0.958468	0.942598						
background	0.988691	0.995209	0.994313	0.987620	0.917343	0.948575	0.955857	250	16
abuth	0.841508	0.884820	0.913934						
cotton	0.921831	0.965697	0.959326						
background	0.987385	0.995938	0.993653	0.984191	0.886099	0.919538	0.937346	300	19
abuth	0.775589	0.801186	0.873613						
cotton	0.895324	0.961490	0.944771						
background	0.988473	0.994698	0.994203	0.986878	0.910485	0.943615	0.951888	350	22
abuth	0.827029	0.863774	0.905326						
cotton	0.915953	0.972372	0.956133						
background	0.988830	0.995358	0.994383	0.987372	0.913842	0.945767	0.953813	400	25
abuth	0.832867	0.876248	0.908813						
cotton	0.919830	0.965694	0.958241						
