class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.975201	0.995381	0.987445	0.947432	0.592288	0.676988	0.680813	50	4
abuth	0.156548	0.163332	0.270717						
cotton	0.645114	0.872251	0.784279						
background	0.966080	0.998089	0.982747	0.953112	0.686881	0.744007	0.794667	100	7
abuth	0.435480	0.470130	0.606737						
cotton	0.659085	0.763803	0.794516						
background	0.983973	0.995195	0.991922	0.979786	0.858887	0.904874	0.920608	150	10
abuth	0.726696	0.795776	0.841718						
cotton	0.865993	0.923650	0.928185						
background	0.985278	0.996732	0.992585	0.981826	0.869639	0.903947	0.927146	200	13
abuth	0.740556	0.773161	0.850942						
cotton	0.883081	0.941950	0.937911						
background	0.988731	0.994987	0.994334	0.988393	0.925199	0.955454	0.960333	250	16
abuth	0.857309	0.904646	0.923173						
cotton	0.929558	0.966730	0.963493						
background	0.987908	0.995448	0.993917	0.984417	0.886195	0.921513	0.937351	300	19
abuth	0.774098	0.800143	0.872666						
cotton	0.896578	0.968947	0.945469						
background	0.989012	0.994975	0.994476	0.986073	0.899715	0.935459	0.945513	350	22
abuth	0.803300	0.838207	0.890922						
cotton	0.906832	0.973196	0.951140						
background	0.989116	0.995309	0.994528	0.987341	0.912325	0.945112	0.952921	400	25
abuth	0.829291	0.872402	0.906680						
cotton	0.918569	0.967625	0.957556						
