class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.960858	0.996990	0.980038	0.939988	0.569330	0.639771	0.655480	50	4
abuth	0.121523	0.128440	0.216710						
cotton	0.625610	0.793881	0.769692						
background	0.979193	0.996445	0.989487	0.956577	0.659461	0.734565	0.759698	100	7
abuth	0.310695	0.320790	0.474092						
cotton	0.688497	0.886460	0.815515						
background	0.984044	0.995732	0.991958	0.978671	0.851127	0.899403	0.915999	150	10
abuth	0.723370	0.795753	0.839483						
cotton	0.845967	0.906724	0.916557						
background	0.987217	0.994321	0.993567	0.984775	0.896673	0.937871	0.943906	200	13
abuth	0.805589	0.867976	0.892328						
cotton	0.897213	0.951317	0.945822						
background	0.986018	0.991105	0.992960	0.979452	0.852105	0.907263	0.916464	250	16
abuth	0.721435	0.752283	0.838179						
cotton	0.848861	0.978400	0.918253						
background	0.987883	0.994282	0.993904	0.981858	0.862670	0.907498	0.922787	300	19
abuth	0.729715	0.754419	0.843740						
cotton	0.870412	0.973792	0.930717						
background	0.987590	0.992411	0.993756	0.986573	0.913987	0.952328	0.954064	350	22
abuth	0.842802	0.883645	0.914696						
cotton	0.911570	0.980928	0.953739						
background	0.988562	0.994835	0.994248	0.989393	0.936866	0.963699	0.966898	400	25
abuth	0.883650	0.928726	0.938232						
cotton	0.938386	0.967536	0.968214						
